	Rhodotorula_mucilaginosa_TFCN_17-337P-5.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00004025	TFCN17337P5_006782-T1, TFCN17337P5_010715-T1	DBVPG3775_006296-T1
GF00004026	TFCN17337P5_006783-T1, TFCN17337P5_010716-T1	DBVPG3775_006297-T1
GF00004027	TFCN17337P5_006784-T1, TFCN17337P5_010717-T1	DBVPG3775_006298-T1
GF00004028	TFCN17337P5_006785-T1, TFCN17337P5_010718-T1	DBVPG3775_006299-T1
GF00004029	TFCN17337P5_006786-T1, TFCN17337P5_010719-T1	DBVPG3775_006300-T1
GF00004030	TFCN17337P5_006787-T1, TFCN17337P5_010720-T1	DBVPG3775_006301-T1
GF00004031	TFCN17337P5_006788-T1, TFCN17337P5_010721-T1	DBVPG3775_006302-T1
GF00004032	TFCN17337P5_006789-T1, TFCN17337P5_010722-T1	DBVPG3775_006303-T1
GF00004033	TFCN17337P5_006791-T1, TFCN17337P5_010724-T1	DBVPG3775_006305-T1
GF00004034	TFCN17337P5_006792-T1, TFCN17337P5_010725-T1	DBVPG3775_006306-T1
GF00004035	TFCN17337P5_006793-T1, TFCN17337P5_010726-T1	DBVPG3775_006308-T1
GF00004036	TFCN17337P5_006794-T1, TFCN17337P5_014668-T1	DBVPG3775_006309-T1
GF00004037	TFCN17337P5_006795-T1, TFCN17337P5_014669-T1	DBVPG3775_006310-T1
GF00004038	TFCN17337P5_006839-T1, TFCN17337P5_010701-T1	DBVPG3775_003820-T1
GF00004039	TFCN17337P5_006841-T1, TFCN17337P5_010699-T1	DBVPG3775_003818-T1
GF00004040	TFCN17337P5_006842-T1, TFCN17337P5_010698-T1	DBVPG3775_003817-T1
GF00004041	TFCN17337P5_006843-T1, TFCN17337P5_010697-T1	DBVPG3775_003816-T1
GF00004042	TFCN17337P5_006844-T1, TFCN17337P5_010696-T1	DBVPG3775_003815-T1
GF00004043	TFCN17337P5_006845-T1, TFCN17337P5_010695-T1	DBVPG3775_003814-T1
GF00004044	TFCN17337P5_006846-T1, TFCN17337P5_010694-T1	DBVPG3775_003813-T1
GF00004045	TFCN17337P5_006847-T1, TFCN17337P5_010693-T1	DBVPG3775_003812-T1
GF00004046	TFCN17337P5_006850-T1, TFCN17337P5_010691-T1	DBVPG3775_003809-T1
GF00004047	TFCN17337P5_006851-T1, TFCN17337P5_010690-T1	DBVPG3775_003808-T1
GF00004048	TFCN17337P5_006852-T1, TFCN17337P5_010689-T1	DBVPG3775_003807-T1
GF00004049	TFCN17337P5_006853-T1, TFCN17337P5_010688-T1	DBVPG3775_003806-T1
GF00004050	TFCN17337P5_006854-T1, TFCN17337P5_010687-T1	DBVPG3775_003805-T1
GF00004051	TFCN17337P5_006897-T1, TFCN17337P5_012834-T1	DBVPG3775_005907-T1
GF00004052	TFCN17337P5_006898-T1, TFCN17337P5_012833-T1	DBVPG3775_005906-T1
GF00004053	TFCN17337P5_006899-T1, TFCN17337P5_012832-T1	DBVPG3775_005905-T1
GF00004054	TFCN17337P5_006900-T1, TFCN17337P5_012831-T1	DBVPG3775_005904-T1
GF00004055	TFCN17337P5_006903-T1, TFCN17337P5_012828-T1	DBVPG3775_005901-T1
GF00004056	TFCN17337P5_006904-T1, TFCN17337P5_012827-T1	DBVPG3775_005900-T1
GF00004057	TFCN17337P5_006905-T1, TFCN17337P5_012826-T1	DBVPG3775_005899-T1
GF00004058	TFCN17337P5_006906-T1, TFCN17337P5_012825-T1	DBVPG3775_005898-T1
GF00004059	TFCN17337P5_006908-T1, TFCN17337P5_009930-T1	DBVPG3775_005896-T1
GF00004060	TFCN17337P5_006909-T1, TFCN17337P5_009931-T1	DBVPG3775_005895-T1
GF00004061	TFCN17337P5_006911-T1, TFCN17337P5_009933-T1	DBVPG3775_005893-T1
GF00004062	TFCN17337P5_006912-T1, TFCN17337P5_009934-T1	DBVPG3775_005892-T1
GF00004063	TFCN17337P5_006913-T1, TFCN17337P5_009935-T1	DBVPG3775_005891-T1
GF00004064	TFCN17337P5_006915-T1, TFCN17337P5_009937-T1	DBVPG3775_005889-T1
GF00004065	TFCN17337P5_006918-T1, TFCN17337P5_009940-T1	DBVPG3775_005886-T1
GF00004066	TFCN17337P5_006922-T1, TFCN17337P5_009944-T1	DBVPG3775_005882-T1
GF00004067	TFCN17337P5_006923-T1, TFCN17337P5_009945-T1	DBVPG3775_005881-T1
GF00004068	TFCN17337P5_006924-T1, TFCN17337P5_009946-T1	DBVPG3775_005880-T1
GF00004069	TFCN17337P5_006925-T1, TFCN17337P5_009947-T1	DBVPG3775_005879-T1
GF00004070	TFCN17337P5_006929-T1, TFCN17337P5_014217-T1	DBVPG3775_005592-T1
GF00004071	TFCN17337P5_006930-T1, TFCN17337P5_014216-T1	DBVPG3775_005593-T1
GF00004072	TFCN17337P5_006931-T1, TFCN17337P5_014215-T1	DBVPG3775_005594-T1
GF00004073	TFCN17337P5_012234-T1, TFCN17337P5_011516-T1	DBVPG3775_007263-T1
GF00004074	TFCN17337P5_006937-T1, TFCN17337P5_013772-T1	DBVPG3775_005600-T1
GF00004075	TFCN17337P5_006938-T1, TFCN17337P5_013773-T1	DBVPG3775_005601-T1
GF00004076	TFCN17337P5_006943-T1, TFCN17337P5_013777-T1	DBVPG3775_005605-T1
GF00004077	TFCN17337P5_006944-T1, TFCN17337P5_013778-T1	DBVPG3775_005606-T1
GF00004078	TFCN17337P5_006945-T1, TFCN17337P5_013779-T1	DBVPG3775_005607-T1
GF00004079	TFCN17337P5_006946-T1, TFCN17337P5_013780-T1	DBVPG3775_005608-T1
GF00004080	TFCN17337P5_006948-T1, TFCN17337P5_013782-T1	DBVPG3775_005610-T1
GF00004081	TFCN17337P5_006949-T1, TFCN17337P5_013783-T1	DBVPG3775_005611-T1
GF00004082	TFCN17337P5_006951-T1, TFCN17337P5_010422-T1	DBVPG3775_005613-T1
GF00004083	TFCN17337P5_006952-T1, TFCN17337P5_010423-T1	DBVPG3775_005614-T1
GF00004084	TFCN17337P5_006953-T1, TFCN17337P5_010424-T1	DBVPG3775_005615-T1
GF00004085	TFCN17337P5_006954-T1, TFCN17337P5_010425-T1	DBVPG3775_005617-T1
GF00004086	TFCN17337P5_006956-T1, TFCN17337P5_010427-T1	DBVPG3775_005619-T1
GF00004087	TFCN17337P5_006957-T1, TFCN17337P5_010428-T1	DBVPG3775_005620-T1
GF00004088	TFCN17337P5_006961-T1, TFCN17337P5_010431-T1	DBVPG3775_005623-T1
GF00004089	TFCN17337P5_006962-T1, TFCN17337P5_010432-T1	DBVPG3775_005624-T1
GF00004090	TFCN17337P5_006963-T1, TFCN17337P5_010433-T1	DBVPG3775_005625-T1
GF00004091	TFCN17337P5_006966-T1, TFCN17337P5_010435-T1	DBVPG3775_005627-T1
GF00004092	TFCN17337P5_006970-T1, TFCN17337P5_010439-T1	DBVPG3775_005630-T1
GF00004093	TFCN17337P5_006971-T1, TFCN17337P5_010440-T1	DBVPG3775_005631-T1
GF00004094	TFCN17337P5_006974-T1, TFCN17337P5_010443-T1	DBVPG3775_005634-T1
GF00004095	TFCN17337P5_006980-T1, TFCN17337P5_010452-T1	DBVPG3775_007345-T1
GF00004096	TFCN17337P5_006984-T1, TFCN17337P5_010454-T1	DBVPG3775_007341-T1
GF00004097	TFCN17337P5_006985-T1, TFCN17337P5_010455-T1	DBVPG3775_007340-T1
GF00004098	TFCN17337P5_006986-T1, TFCN17337P5_010456-T1	DBVPG3775_007339-T1
GF00004099	TFCN17337P5_006987-T1, TFCN17337P5_010457-T1	DBVPG3775_007338-T1
GF00004100	TFCN17337P5_006990-T1, TFCN17337P5_014455-T1	DBVPG3775_007335-T1
GF00004101	TFCN17337P5_006991-T1, TFCN17337P5_014454-T1	DBVPG3775_007334-T1
GF00004102	TFCN17337P5_006993-T1, TFCN17337P5_014452-T1	DBVPG3775_007332-T1
GF00004103	TFCN17337P5_006995-T1, TFCN17337P5_014653-T1	DBVPG3775_007330-T1
GF00004104	TFCN17337P5_006997-T1, TFCN17337P5_014651-T1	DBVPG3775_007328-T1
GF00004105	TFCN17337P5_006999-T1, TFCN17337P5_008090-T1	DBVPG3775_005811-T1
GF00004106	TFCN17337P5_007001-T1, TFCN17337P5_008092-T1	DBVPG3775_005813-T1
GF00004107	TFCN17337P5_007002-T1, TFCN17337P5_008093-T1	DBVPG3775_005814-T1
GF00004108	TFCN17337P5_007006-T1, TFCN17337P5_008098-T1	DBVPG3775_005818-T1
GF00004109	TFCN17337P5_007007-T1, TFCN17337P5_008099-T1	DBVPG3775_005819-T1
GF00004110	TFCN17337P5_007009-T1, TFCN17337P5_008101-T1	DBVPG3775_005821-T1
GF00004111	TFCN17337P5_007010-T1, TFCN17337P5_008102-T1	DBVPG3775_005822-T1
GF00004112	TFCN17337P5_007011-T1, TFCN17337P5_008103-T1	DBVPG3775_005823-T1
GF00004113	TFCN17337P5_007012-T1, TFCN17337P5_008104-T1	DBVPG3775_005824-T1
GF00004114	TFCN17337P5_007017-T1, TFCN17337P5_008107-T1	DBVPG3775_005828-T1
GF00004115	TFCN17337P5_007018-T1, TFCN17337P5_008108-T1	DBVPG3775_005829-T1
GF00004116	TFCN17337P5_007020-T1, TFCN17337P5_010486-T1	DBVPG3775_005831-T1
GF00004117	TFCN17337P5_007024-T1, TFCN17337P5_010483-T1	DBVPG3775_005835-T1
GF00004118	TFCN17337P5_007025-T1, TFCN17337P5_010482-T1	DBVPG3775_005836-T1
GF00004119	TFCN17337P5_007026-T1, TFCN17337P5_010481-T1	DBVPG3775_005837-T1
GF00004120	TFCN17337P5_007027-T1, TFCN17337P5_010480-T1	DBVPG3775_005838-T1
GF00004121	TFCN17337P5_007028-T1, TFCN17337P5_010479-T1	DBVPG3775_005839-T1
GF00004122	TFCN17337P5_007030-T1, TFCN17337P5_010478-T1	DBVPG3775_005840-T1
GF00004123	TFCN17337P5_007031-T1, TFCN17337P5_010477-T1	DBVPG3775_005841-T1
GF00004124	TFCN17337P5_007034-T1, TFCN17337P5_010474-T1	DBVPG3775_005844-T1
GF00004125	TFCN17337P5_007036-T1, TFCN17337P5_010471-T1	DBVPG3775_005846-T1
GF00004126	TFCN17337P5_007039-T1, TFCN17337P5_010469-T1	DBVPG3775_005849-T1
GF00004127	TFCN17337P5_007041-T1, TFCN17337P5_010467-T1	DBVPG3775_005851-T1
GF00004128	TFCN17337P5_007042-T1, TFCN17337P5_010466-T1	DBVPG3775_005852-T1
GF00004129	TFCN17337P5_007043-T1, TFCN17337P5_010465-T1	DBVPG3775_005853-T1
GF00004130	TFCN17337P5_007044-T1, TFCN17337P5_010464-T1	DBVPG3775_005854-T1
GF00004131	TFCN17337P5_007048-T1, TFCN17337P5_010460-T1	DBVPG3775_005858-T1
GF00004132	TFCN17337P5_007049-T1, TFCN17337P5_007782-T1	DBVPG3775_005859-T1
GF00004133	TFCN17337P5_007050-T1, TFCN17337P5_007783-T1	DBVPG3775_005860-T1
GF00004134	TFCN17337P5_007051-T1, TFCN17337P5_007784-T1	DBVPG3775_005861-T1
GF00004135	TFCN17337P5_007052-T1, TFCN17337P5_007785-T1	DBVPG3775_005862-T1
GF00004136	TFCN17337P5_007053-T1, TFCN17337P5_007786-T1	DBVPG3775_005863-T1
GF00004137	TFCN17337P5_007054-T1, TFCN17337P5_007787-T1	DBVPG3775_005864-T1
GF00004138	TFCN17337P5_007055-T1, TFCN17337P5_007788-T1	DBVPG3775_005865-T1
GF00004139	TFCN17337P5_007059-T1, TFCN17337P5_007793-T1	DBVPG3775_005868-T1
GF00004140	TFCN17337P5_007061-T1, TFCN17337P5_007795-T1	DBVPG3775_005870-T1
GF00004141	TFCN17337P5_007140-T1, TFCN17337P5_014729-T1	DBVPG3775_006956-T1
GF00004142	TFCN17337P5_007142-T1, TFCN17337P5_013051-T1	DBVPG3775_006957-T1
GF00004143	TFCN17337P5_007145-T1, TFCN17337P5_013048-T1	DBVPG3775_006960-T1
GF00004144	TFCN17337P5_007146-T1, TFCN17337P5_013047-T1	DBVPG3775_006961-T1
GF00004145	TFCN17337P5_007151-T1, TFCN17337P5_013042-T1	DBVPG3775_006966-T1
GF00004146	TFCN17337P5_007152-T1, TFCN17337P5_013041-T1	DBVPG3775_006967-T1
GF00004147	TFCN17337P5_009035-T1, TFCN17337P5_011459-T1	DBVPG3775_005359-T1
GF00004148	TFCN17337P5_007154-T1, TFCN17337P5_013039-T1	DBVPG3775_006969-T1
GF00004149	TFCN17337P5_007155-T1, TFCN17337P5_013038-T1	DBVPG3775_006970-T1
GF00004150	TFCN17337P5_007156-T1, TFCN17337P5_013037-T1	DBVPG3775_006971-T1
GF00004151	TFCN17337P5_007158-T1, TFCN17337P5_013035-T1	DBVPG3775_006973-T1
GF00004152	TFCN17337P5_007164-T1, TFCN17337P5_008711-T1	DBVPG3775_006415-T1
GF00004153	TFCN17337P5_007165-T1, TFCN17337P5_008710-T1	DBVPG3775_006414-T1
GF00004154	TFCN17337P5_007167-T1, TFCN17337P5_008708-T1	DBVPG3775_006412-T1
GF00004155	TFCN17337P5_007169-T1, TFCN17337P5_008706-T1	DBVPG3775_006410-T1
GF00004156	TFCN17337P5_007170-T1, TFCN17337P5_008705-T1	DBVPG3775_006409-T1
GF00004157	TFCN17337P5_007171-T1, TFCN17337P5_008704-T1	DBVPG3775_006408-T1
GF00004158	TFCN17337P5_007172-T1, TFCN17337P5_008703-T1	DBVPG3775_006407-T1
GF00004159	TFCN17337P5_007177-T1, TFCN17337P5_008716-T1	DBVPG3775_006420-T1
GF00004160	TFCN17337P5_007179-T1, TFCN17337P5_008718-T1	DBVPG3775_006422-T1
GF00004161	TFCN17337P5_007182-T1, TFCN17337P5_008725-T1	DBVPG3775_006428-T1
GF00004162	TFCN17337P5_007185-T1, TFCN17337P5_008728-T1	DBVPG3775_006431-T1
GF00004163	TFCN17337P5_007186-T1, TFCN17337P5_008729-T1	DBVPG3775_006432-T1
GF00004164	TFCN17337P5_007187-T1, TFCN17337P5_008730-T1	DBVPG3775_006433-T1
GF00004165	TFCN17337P5_007188-T1, TFCN17337P5_008731-T1	DBVPG3775_006434-T1
GF00004166	TFCN17337P5_007191-T1, TFCN17337P5_008733-T1	DBVPG3775_006436-T1
GF00004167	TFCN17337P5_007192-T1, TFCN17337P5_008734-T1	DBVPG3775_006437-T1
GF00004168	TFCN17337P5_007195-T1, TFCN17337P5_008737-T1	DBVPG3775_006440-T1
GF00004169	TFCN17337P5_007196-T1, TFCN17337P5_008738-T1	DBVPG3775_006441-T1
GF00004170	TFCN17337P5_007197-T1, TFCN17337P5_008739-T1	DBVPG3775_006442-T1
GF00004171	TFCN17337P5_007198-T1, TFCN17337P5_008740-T1	DBVPG3775_006443-T1
GF00004172	TFCN17337P5_007200-T1, TFCN17337P5_008743-T1	DBVPG3775_006445-T1
GF00004173	TFCN17337P5_007202-T1, TFCN17337P5_008744-T1	DBVPG3775_006446-T1
GF00004174	TFCN17337P5_007203-T1, TFCN17337P5_008745-T1	DBVPG3775_006447-T1
GF00004175	TFCN17337P5_007204-T1, TFCN17337P5_008746-T1	DBVPG3775_006448-T1
GF00004176	TFCN17337P5_007272-T1, TFCN17337P5_007519-T1	DBVPG3775_000984-T1
GF00004177	TFCN17337P5_007273-T1, TFCN17337P5_007518-T1	DBVPG3775_000985-T1
GF00004178	TFCN17337P5_007274-T1, TFCN17337P5_007517-T1	DBVPG3775_000986-T1
GF00004179	TFCN17337P5_007276-T1, TFCN17337P5_007516-T1	DBVPG3775_000987-T1
GF00004180	TFCN17337P5_007277-T1, TFCN17337P5_007515-T1	DBVPG3775_000988-T1
GF00004181	TFCN17337P5_007291-T1, TFCN17337P5_007529-T1	DBVPG3775_000974-T1
GF00004182	TFCN17337P5_007292-T1, TFCN17337P5_007530-T1	DBVPG3775_000973-T1
GF00004183	TFCN17337P5_007293-T1, TFCN17337P5_007531-T1	DBVPG3775_000972-T1
GF00004184	TFCN17337P5_007297-T1, TFCN17337P5_007535-T1	DBVPG3775_000967-T1
GF00004185	TFCN17337P5_008848-T1, TFCN17337P5_012084-T1	DBVPG3775_004795-T1
GF00004186	TFCN17337P5_007301-T1, TFCN17337P5_014545-T1	DBVPG3775_000963-T1
GF00004187	TFCN17337P5_007306-T1, TFCN17337P5_007340-T1	DBVPG3775_000958-T1
GF00004188	TFCN17337P5_007309-T1, TFCN17337P5_007343-T1	DBVPG3775_000955-T1
GF00004189	TFCN17337P5_007312-T1, TFCN17337P5_007345-T1	DBVPG3775_000952-T1
GF00004190	TFCN17337P5_007313-T1, TFCN17337P5_007346-T1	DBVPG3775_000951-T1
GF00004191	TFCN17337P5_007314-T1, TFCN17337P5_007347-T1	DBVPG3775_000950-T1
GF00004192	TFCN17337P5_007316-T1, TFCN17337P5_007349-T1	DBVPG3775_000948-T1
GF00004193	TFCN17337P5_007317-T1, TFCN17337P5_007350-T1	DBVPG3775_000947-T1
GF00004194	TFCN17337P5_007320-T1, TFCN17337P5_007353-T1	DBVPG3775_000945-T1
GF00004195	TFCN17337P5_007321-T1, TFCN17337P5_007354-T1	DBVPG3775_000944-T1
GF00004196	TFCN17337P5_007322-T1, TFCN17337P5_007355-T1	DBVPG3775_000943-T1
GF00004197	TFCN17337P5_007323-T1, TFCN17337P5_007356-T1	DBVPG3775_000942-T1
GF00004198	TFCN17337P5_007326-T1, TFCN17337P5_007358-T1	DBVPG3775_000940-T1
GF00004199	TFCN17337P5_007327-T1, TFCN17337P5_007359-T1	DBVPG3775_000939-T1
GF00004200	TFCN17337P5_007328-T1, TFCN17337P5_007360-T1	DBVPG3775_000938-T1
GF00004201	TFCN17337P5_007329-T1, TFCN17337P5_007361-T1	DBVPG3775_000937-T1
GF00004202	TFCN17337P5_007330-T1, TFCN17337P5_007362-T1	DBVPG3775_000936-T1
GF00004203	TFCN17337P5_007331-T1, TFCN17337P5_007363-T1	DBVPG3775_000935-T1
GF00004204	TFCN17337P5_008079-T1, TFCN17337P5_011967-T1	DBVPG3775_007372-T1
GF00004205	TFCN17337P5_007336-T1, TFCN17337P5_007388-T1	DBVPG3775_000931-T1
GF00004206	TFCN17337P5_007366-T1, TFCN17337P5_013529-T1	DBVPG3775_000910-T1
GF00004207	TFCN17337P5_007367-T1, TFCN17337P5_013530-T1	DBVPG3775_000911-T1
GF00004208	TFCN17337P5_007370-T1, TFCN17337P5_013533-T1	DBVPG3775_000914-T1
GF00004209	TFCN17337P5_007373-T1, TFCN17337P5_013536-T1	DBVPG3775_000916-T1
GF00004210	TFCN17337P5_007374-T1, TFCN17337P5_013537-T1	DBVPG3775_000917-T1
GF00004211	TFCN17337P5_007375-T1, TFCN17337P5_013538-T1	DBVPG3775_000918-T1
GF00004212	TFCN17337P5_007376-T1, TFCN17337P5_013539-T1	DBVPG3775_000919-T1
GF00004213	TFCN17337P5_007377-T1, TFCN17337P5_013540-T1	DBVPG3775_000920-T1
GF00004214	TFCN17337P5_007378-T1, TFCN17337P5_013541-T1	DBVPG3775_000921-T1
GF00004215	TFCN17337P5_007380-T1, TFCN17337P5_014632-T1	DBVPG3775_000923-T1
GF00004216	TFCN17337P5_007382-T1, TFCN17337P5_014489-T1	DBVPG3775_000925-T1
GF00004217	TFCN17337P5_007384-T1, TFCN17337P5_014491-T1	DBVPG3775_000927-T1
GF00004218	TFCN17337P5_007385-T1, TFCN17337P5_014492-T1	DBVPG3775_000928-T1
GF00004219	TFCN17337P5_007386-T1, TFCN17337P5_014493-T1	DBVPG3775_000929-T1
GF00004220	TFCN17337P5_007387-T1, TFCN17337P5_014494-T1	DBVPG3775_000930-T1
GF00004221	TFCN17337P5_007389-T1, TFCN17337P5_013525-T1	DBVPG3775_000906-T1
GF00004222	TFCN17337P5_007390-T1, TFCN17337P5_013523-T1	DBVPG3775_000904-T1
GF00004223	TFCN17337P5_007391-T1, TFCN17337P5_013522-T1	DBVPG3775_000903-T1
GF00004224	TFCN17337P5_007393-T1, TFCN17337P5_014513-T1	DBVPG3775_000901-T1
GF00004225	TFCN17337P5_007397-T1, TFCN17337P5_009599-T1	DBVPG3775_000897-T1
GF00004226	TFCN17337P5_007398-T1, TFCN17337P5_009600-T1	DBVPG3775_000896-T1
GF00004227	TFCN17337P5_007399-T1, TFCN17337P5_009601-T1	DBVPG3775_000895-T1
GF00004228	TFCN17337P5_007400-T1, TFCN17337P5_009602-T1	DBVPG3775_000894-T1
GF00004229	TFCN17337P5_007401-T1, TFCN17337P5_009603-T1	DBVPG3775_000893-T1
GF00004230	TFCN17337P5_007402-T1, TFCN17337P5_009604-T1	DBVPG3775_000892-T1
GF00004231	TFCN17337P5_007465-T1, TFCN17337P5_009904-T1	DBVPG3775_006160-T1
GF00004232	TFCN17337P5_007466-T1, TFCN17337P5_009905-T1	DBVPG3775_006159-T1
GF00004233	TFCN17337P5_007467-T1, TFCN17337P5_009906-T1	DBVPG3775_006158-T1
GF00004234	TFCN17337P5_007468-T1, TFCN17337P5_009907-T1	DBVPG3775_006157-T1
GF00004235	TFCN17337P5_007469-T1, TFCN17337P5_009908-T1	DBVPG3775_006156-T1
GF00004236	TFCN17337P5_007470-T1, TFCN17337P5_009909-T1	DBVPG3775_006155-T1
GF00004237	TFCN17337P5_007471-T1, TFCN17337P5_009910-T1	DBVPG3775_006154-T1
GF00004238	TFCN17337P5_007474-T1, TFCN17337P5_009912-T1	DBVPG3775_006152-T1
GF00004239	TFCN17337P5_007475-T1, TFCN17337P5_009913-T1	DBVPG3775_006151-T1
GF00004240	TFCN17337P5_007476-T1, TFCN17337P5_009914-T1	DBVPG3775_006150-T1
GF00004241	TFCN17337P5_007477-T1, TFCN17337P5_009915-T1	DBVPG3775_006149-T1
GF00004242	TFCN17337P5_007478-T1, TFCN17337P5_009916-T1	DBVPG3775_006148-T1
GF00004243	TFCN17337P5_007480-T1, TFCN17337P5_014393-T1	DBVPG3775_001023-T1
GF00004244	TFCN17337P5_007481-T1, TFCN17337P5_014394-T1	DBVPG3775_001022-T1
GF00004245	TFCN17337P5_007482-T1, TFCN17337P5_014395-T1	DBVPG3775_001021-T1
GF00004246	TFCN17337P5_007484-T1, TFCN17337P5_014398-T1	DBVPG3775_001019-T1
GF00004247	TFCN17337P5_007486-T1, TFCN17337P5_014400-T1	DBVPG3775_001017-T1
GF00004248	TFCN17337P5_007487-T1, TFCN17337P5_014401-T1	DBVPG3775_001016-T1
GF00004249	TFCN17337P5_007488-T1, TFCN17337P5_012658-T1	DBVPG3775_001015-T1
GF00004250	TFCN17337P5_007489-T1, TFCN17337P5_012659-T1	DBVPG3775_001014-T1
GF00004251	TFCN17337P5_007490-T1, TFCN17337P5_012660-T1	DBVPG3775_001013-T1
GF00004252	TFCN17337P5_007491-T1, TFCN17337P5_012661-T1	DBVPG3775_001012-T1
GF00004253	TFCN17337P5_007492-T1, TFCN17337P5_012662-T1	DBVPG3775_001011-T1
GF00004254	TFCN17337P5_007493-T1, TFCN17337P5_012663-T1	DBVPG3775_001010-T1
GF00004255	TFCN17337P5_007494-T1, TFCN17337P5_012664-T1	DBVPG3775_001009-T1
GF00004256	TFCN17337P5_007495-T1, TFCN17337P5_012665-T1	DBVPG3775_001008-T1
GF00004257	TFCN17337P5_007498-T1, TFCN17337P5_012668-T1	DBVPG3775_001005-T1
GF00004258	TFCN17337P5_007499-T1, TFCN17337P5_012669-T1	DBVPG3775_001004-T1
GF00004259	TFCN17337P5_007500-T1, TFCN17337P5_012670-T1	DBVPG3775_001003-T1
GF00004260	TFCN17337P5_007501-T1, TFCN17337P5_012671-T1	DBVPG3775_001002-T1
GF00004261	TFCN17337P5_007502-T1, TFCN17337P5_012672-T1	DBVPG3775_001001-T1
GF00004262	TFCN17337P5_007505-T1, TFCN17337P5_014342-T1	DBVPG3775_000998-T1
GF00004263	TFCN17337P5_007506-T1, TFCN17337P5_014341-T1	DBVPG3775_000997-T1
GF00004264	TFCN17337P5_007507-T1, TFCN17337P5_014340-T1	DBVPG3775_000996-T1
GF00004265	TFCN17337P5_007511-T1, TFCN17337P5_014336-T1	DBVPG3775_000992-T1
GF00004266	TFCN17337P5_007592-T1, TFCN17337P5_012848-T1	DBVPG3775_006945-T1
GF00004267	TFCN17337P5_007593-T1, TFCN17337P5_012847-T1	DBVPG3775_006944-T1
GF00004268	TFCN17337P5_007594-T1, TFCN17337P5_012846-T1	DBVPG3775_006943-T1
GF00004269	TFCN17337P5_007595-T1, TFCN17337P5_012845-T1	DBVPG3775_006942-T1
GF00004270	TFCN17337P5_007597-T1, TFCN17337P5_012843-T1	DBVPG3775_006939-T1
GF00004271	TFCN17337P5_007598-T1, TFCN17337P5_012842-T1	DBVPG3775_006938-T1
GF00004272	TFCN17337P5_007600-T1, TFCN17337P5_012840-T1	DBVPG3775_006936-T1
GF00004273	TFCN17337P5_007602-T1, TFCN17337P5_012838-T1	DBVPG3775_006934-T1
GF00004274	TFCN17337P5_007603-T1, TFCN17337P5_012837-T1	DBVPG3775_006933-T1
GF00004275	TFCN17337P5_007605-T1, TFCN17337P5_012093-T1	DBVPG3775_006227-T1
GF00004276	TFCN17337P5_007607-T1, TFCN17337P5_012095-T1	DBVPG3775_006229-T1
GF00004277	TFCN17337P5_007608-T1, TFCN17337P5_012097-T1	DBVPG3775_006232-T1
GF00004278	TFCN17337P5_007609-T1, TFCN17337P5_012098-T1	DBVPG3775_006233-T1
GF00004279	TFCN17337P5_007611-T1, TFCN17337P5_012101-T1	DBVPG3775_006236-T1
GF00004280	TFCN17337P5_007613-T1, TFCN17337P5_012103-T1	DBVPG3775_006238-T1
GF00004281	TFCN17337P5_007614-T1, TFCN17337P5_012104-T1	DBVPG3775_006239-T1
GF00004282	TFCN17337P5_007615-T1, TFCN17337P5_012105-T1	DBVPG3775_006240-T1
GF00004283	TFCN17337P5_007619-T1, TFCN17337P5_012110-T1	DBVPG3775_006245-T1
GF00004284	TFCN17337P5_007623-T1, TFCN17337P5_011599-T1	DBVPG3775_006251-T1
GF00004285	TFCN17337P5_007625-T1, TFCN17337P5_011601-T1	DBVPG3775_006253-T1
GF00004286	TFCN17337P5_007626-T1, TFCN17337P5_011602-T1	DBVPG3775_006254-T1
GF00004287	TFCN17337P5_007628-T1, TFCN17337P5_011604-T1	DBVPG3775_006256-T1
GF00004288	TFCN17337P5_007629-T1, TFCN17337P5_011605-T1	DBVPG3775_006257-T1
GF00004289	TFCN17337P5_007630-T1, TFCN17337P5_011606-T1	DBVPG3775_006258-T1
GF00004290	TFCN17337P5_007631-T1, TFCN17337P5_011607-T1	DBVPG3775_006259-T1
GF00004291	TFCN17337P5_007634-T1, TFCN17337P5_011610-T1	DBVPG3775_006263-T1
GF00004292	TFCN17337P5_007639-T1, TFCN17337P5_011615-T1	DBVPG3775_006268-T1
GF00004293	TFCN17337P5_007642-T1, TFCN17337P5_011618-T1	DBVPG3775_006271-T1
GF00004294	TFCN17337P5_007643-T1, TFCN17337P5_011619-T1	DBVPG3775_006272-T1
GF00004295	TFCN17337P5_007644-T1, TFCN17337P5_011620-T1	DBVPG3775_006273-T1
GF00004296	TFCN17337P5_007645-T1, TFCN17337P5_011621-T1	DBVPG3775_006274-T1
GF00004297	TFCN17337P5_007646-T1, TFCN17337P5_011622-T1	DBVPG3775_006275-T1
GF00004298	TFCN17337P5_007649-T1, TFCN17337P5_011625-T1	DBVPG3775_006278-T1
GF00004299	TFCN17337P5_007650-T1, TFCN17337P5_011626-T1	DBVPG3775_006279-T1
GF00004300	TFCN17337P5_007655-T1, TFCN17337P5_008413-T1	DBVPG3775_000276-T1
GF00004301	TFCN17337P5_007656-T1, TFCN17337P5_008414-T1	DBVPG3775_000277-T1
GF00004302	TFCN17337P5_007658-T1, TFCN17337P5_008416-T1	DBVPG3775_000279-T1
