	Rhodotorula_mucilaginosa_CHIFNET_13H1268.cds.fa
GF00005278	CHIFNET13H1268_012174-T1, CHIFNET13H1268_005167-T1
GF00005279	CHIFNET13H1268_000039-T1, CHIFNET13H1268_004177-T1
GF00005280	CHIFNET13H1268_007633-T1, CHIFNET13H1268_007438-T1
GF00005281	CHIFNET13H1268_009475-T1, CHIFNET13H1268_009784-T1
GF00005282	CHIFNET13H1268_000249-T1, CHIFNET13H1268_007357-T1
GF00005283	CHIFNET13H1268_008851-T1, CHIFNET13H1268_012902-T1
GF00005284	CHIFNET13H1268_010320-T1, CHIFNET13H1268_007495-T1
GF00005285	CHIFNET13H1268_006067-T1, CHIFNET13H1268_004929-T1
GF00005286	CHIFNET13H1268_002794-T1, CHIFNET13H1268_013454-T1
GF00005287	CHIFNET13H1268_000870-T1, CHIFNET13H1268_003118-T1
GF00005288	CHIFNET13H1268_007711-T1, CHIFNET13H1268_006483-T1
GF00005289	CHIFNET13H1268_006530-T1, CHIFNET13H1268_011939-T1
GF00005290	CHIFNET13H1268_005696-T1, CHIFNET13H1268_014618-T1
GF00005291	CHIFNET13H1268_011475-T1, CHIFNET13H1268_014526-T1
GF00005292	CHIFNET13H1268_004009-T1, CHIFNET13H1268_011018-T1
GF00005293	CHIFNET13H1268_004780-T1, CHIFNET13H1268_005640-T1
GF00005294	CHIFNET13H1268_001508-T1, CHIFNET13H1268_005221-T1
GF00005295	CHIFNET13H1268_013216-T1, CHIFNET13H1268_009427-T1
GF00005296	CHIFNET13H1268_013095-T1, CHIFNET13H1268_007379-T1
GF00005297	CHIFNET13H1268_001144-T1, CHIFNET13H1268_011485-T1
GF00005298	CHIFNET13H1268_002421-T1, CHIFNET13H1268_003296-T1
GF00005299	CHIFNET13H1268_012781-T1, CHIFNET13H1268_006046-T1
GF00005300	CHIFNET13H1268_005487-T1, CHIFNET13H1268_010079-T1
GF00005301	CHIFNET13H1268_009954-T1, CHIFNET13H1268_009037-T1
GF00005302	CHIFNET13H1268_009573-T1, CHIFNET13H1268_005913-T1
GF00005303	CHIFNET13H1268_001795-T1, CHIFNET13H1268_001350-T1
GF00005304	CHIFNET13H1268_001739-T1, CHIFNET13H1268_001294-T1
GF00005305	CHIFNET13H1268_004984-T1, CHIFNET13H1268_008438-T1
GF00005306	CHIFNET13H1268_014140-T1, CHIFNET13H1268_001861-T1
GF00005307	CHIFNET13H1268_012307-T1, CHIFNET13H1268_007973-T1
GF00005308	CHIFNET13H1268_006233-T1, CHIFNET13H1268_002203-T1
GF00005309	CHIFNET13H1268_001916-T1, CHIFNET13H1268_000410-T1
GF00005310	CHIFNET13H1268_001084-T1, CHIFNET13H1268_011882-T1
GF00005311	CHIFNET13H1268_000600-T1, CHIFNET13H1268_011565-T1
GF00005312	CHIFNET13H1268_011151-T1, CHIFNET13H1268_002617-T1
GF00005313	CHIFNET13H1268_007556-T1, CHIFNET13H1268_007115-T1
GF00005314	CHIFNET13H1268_014529-T1, CHIFNET13H1268_001252-T1
GF00005315	CHIFNET13H1268_002266-T1, CHIFNET13H1268_003496-T1
GF00005316	CHIFNET13H1268_006591-T1, CHIFNET13H1268_000122-T1
GF00005317	CHIFNET13H1268_010637-T1, CHIFNET13H1268_001036-T1
GF00005318	CHIFNET13H1268_013107-T1, CHIFNET13H1268_007391-T1
GF00005319	CHIFNET13H1268_009823-T1, CHIFNET13H1268_009912-T1
GF00005320	CHIFNET13H1268_004119-T1, CHIFNET13H1268_007892-T1
GF00005321	CHIFNET13H1268_009748-T1, CHIFNET13H1268_002124-T1
GF00005322	CHIFNET13H1268_011370-T1, CHIFNET13H1268_004088-T1
GF00005323	CHIFNET13H1268_008442-T1, CHIFNET13H1268_004980-T1
GF00005324	CHIFNET13H1268_011093-T1, CHIFNET13H1268_012603-T1
GF00005325	CHIFNET13H1268_000233-T1, CHIFNET13H1268_007340-T1
GF00005326	CHIFNET13H1268_000721-T1, CHIFNET13H1268_003826-T1
GF00005327	CHIFNET13H1268_005454-T1, CHIFNET13H1268_007256-T1
GF00005328	CHIFNET13H1268_003134-T1, CHIFNET13H1268_000854-T1
GF00005329	CHIFNET13H1268_000770-T1, CHIFNET13H1268_013947-T1
GF00005330	CHIFNET13H1268_008925-T1, CHIFNET13H1268_011846-T1
GF00005331	CHIFNET13H1268_003673-T1, CHIFNET13H1268_000908-T1
GF00005332	CHIFNET13H1268_011636-T1, CHIFNET13H1268_004633-T1
GF00005333	CHIFNET13H1268_007116-T1, CHIFNET13H1268_007557-T1
GF00005334	CHIFNET13H1268_011442-T1, CHIFNET13H1268_012026-T1
GF00005335	CHIFNET13H1268_012799-T1, CHIFNET13H1268_013506-T1
GF00005336	CHIFNET13H1268_007119-T1, CHIFNET13H1268_007560-T1
GF00005337	CHIFNET13H1268_003747-T1, CHIFNET13H1268_000984-T1
GF00005338	CHIFNET13H1268_002599-T1, CHIFNET13H1268_013700-T1
GF00005339	CHIFNET13H1268_003389-T1, CHIFNET13H1268_002329-T1
GF00005340	CHIFNET13H1268_011378-T1, CHIFNET13H1268_004096-T1
GF00005341	CHIFNET13H1268_012249-T1, CHIFNET13H1268_008266-T1
GF00005342	CHIFNET13H1268_000339-T1, CHIFNET13H1268_001990-T1
GF00005343	CHIFNET13H1268_006084-T1, CHIFNET13H1268_004945-T1
GF00005344	CHIFNET13H1268_000597-T1, CHIFNET13H1268_011568-T1
GF00005345	CHIFNET13H1268_012831-T1, CHIFNET13H1268_013168-T1
GF00005346	CHIFNET13H1268_009821-T1, CHIFNET13H1268_009910-T1
GF00005347	CHIFNET13H1268_014644-T1, CHIFNET13H1268_002211-T1
GF00005348	CHIFNET13H1268_003178-T1, CHIFNET13H1268_013628-T1
GF00005349	CHIFNET13H1268_010930-T1, CHIFNET13H1268_004688-T1
GF00005350	CHIFNET13H1268_014769-T1, CHIFNET13H1268_010387-T1
GF00005351	CHIFNET13H1268_000582-T1, CHIFNET13H1268_008346-T1
GF00005352	CHIFNET13H1268_005313-T1, CHIFNET13H1268_003282-T1
GF00005353	CHIFNET13H1268_003811-T1, CHIFNET13H1268_000707-T1
GF00005354	CHIFNET13H1268_005173-T1, CHIFNET13H1268_012180-T1
GF00005355	CHIFNET13H1268_008420-T1, CHIFNET13H1268_005001-T1
GF00005356	CHIFNET13H1268_013300-T1, CHIFNET13H1268_008475-T1
GF00005357	CHIFNET13H1268_009469-T1, CHIFNET13H1268_009778-T1
GF00005358	CHIFNET13H1268_003518-T1, CHIFNET13H1268_002242-T1
GF00005359	CHIFNET13H1268_004144-T1, CHIFNET13H1268_007869-T1
GF00005360	CHIFNET13H1268_006367-T1, CHIFNET13H1268_004461-T1
GF00005361	CHIFNET13H1268_010444-T1, CHIFNET13H1268_000814-T1
GF00005362	CHIFNET13H1268_014699-T1, CHIFNET13H1268_014089-T1
GF00005363	CHIFNET13H1268_014170-T1, CHIFNET13H1268_008648-T1
GF00005364	CHIFNET13H1268_005938-T1, CHIFNET13H1268_009549-T1
GF00005365	CHIFNET13H1268_010164-T1, CHIFNET13H1268_014374-T1
GF00005366	CHIFNET13H1268_003902-T1, CHIFNET13H1268_010275-T1
GF00005367	CHIFNET13H1268_005931-T1, CHIFNET13H1268_009556-T1
GF00005368	CHIFNET13H1268_008195-T1, CHIFNET13H1268_009662-T1
GF00005369	CHIFNET13H1268_013449-T1, CHIFNET13H1268_002789-T1
GF00005370	CHIFNET13H1268_010450-T1, CHIFNET13H1268_000820-T1
GF00005371	CHIFNET13H1268_003814-T1, CHIFNET13H1268_000710-T1
GF00005372	CHIFNET13H1268_011249-T1, CHIFNET13H1268_005850-T1
GF00005373	CHIFNET13H1268_002522-T1, CHIFNET13H1268_010817-T1
GF00005374	CHIFNET13H1268_003513-T1, CHIFNET13H1268_002247-T1
GF00005375	CHIFNET13H1268_015012-T1, CHIFNET13H1268_008809-T1
GF00005376	CHIFNET13H1268_012644-T1, CHIFNET13H1268_004368-T1
GF00005377	CHIFNET13H1268_009398-T1, CHIFNET13H1268_014638-T1
GF00005378	CHIFNET13H1268_011928-T1, CHIFNET13H1268_006540-T1
GF00005379	CHIFNET13H1268_013891-T1, CHIFNET13H1268_014021-T1
GF00005380	CHIFNET13H1268_007721-T1, CHIFNET13H1268_011655-T1
GF00005381	CHIFNET13H1268_004564-T1, CHIFNET13H1268_006740-T1
GF00005382	CHIFNET13H1268_006541-T1, CHIFNET13H1268_011927-T1
GF00005383	CHIFNET13H1268_005007-T1, CHIFNET13H1268_008414-T1
GF00005384	CHIFNET13H1268_014639-T1, CHIFNET13H1268_009399-T1
GF00005385	CHIFNET13H1268_012064-T1, CHIFNET13H1268_011916-T1
GF00005386	CHIFNET13H1268_001728-T1, CHIFNET13H1268_001285-T1
GF00005387	CHIFNET13H1268_000105-T1, CHIFNET13H1268_006609-T1
GF00005388	CHIFNET13H1268_003515-T1, CHIFNET13H1268_002245-T1
GF00005389	CHIFNET13H1268_002519-T1, CHIFNET13H1268_010820-T1
GF00005390	CHIFNET13H1268_006840-T1, CHIFNET13H1268_004301-T1
GF00005391	CHIFNET13H1268_014911-T1, CHIFNET13H1268_006804-T1
GF00005392	CHIFNET13H1268_011419-T1, CHIFNET13H1268_001239-T1
GF00005393	CHIFNET13H1268_006943-T1, CHIFNET13H1268_005818-T1
GF00005394	CHIFNET13H1268_004811-T1, CHIFNET13H1268_005607-T1
GF00005395	CHIFNET13H1268_009589-T1, CHIFNET13H1268_006816-T1
GF00005396	CHIFNET13H1268_002485-T1, CHIFNET13H1268_011711-T1
GF00005397	CHIFNET13H1268_007048-T1, CHIFNET13H1268_003786-T1
GF00005398	CHIFNET13H1268_008789-T1, CHIFNET13H1268_008991-T1
GF00005399	CHIFNET13H1268_005860-T1, CHIFNET13H1268_011237-T1
GF00005400	CHIFNET13H1268_004615-T1, CHIFNET13H1268_011619-T1
GF00005401	CHIFNET13H1268_005683-T1, CHIFNET13H1268_004737-T1
GF00005402	CHIFNET13H1268_009025-T1, CHIFNET13H1268_009942-T1
GF00005403	CHIFNET13H1268_013174-T1, CHIFNET13H1268_013734-T1
GF00005404	CHIFNET13H1268_014808-T1, CHIFNET13H1268_002044-T1
GF00005405	CHIFNET13H1268_010115-T1, CHIFNET13H1268_003052-T1
GF00005406	CHIFNET13H1268_002183-T1, CHIFNET13H1268_006213-T1
GF00005407	CHIFNET13H1268_006981-T1, CHIFNET13H1268_000615-T1
GF00005408	CHIFNET13H1268_011529-T1, CHIFNET13H1268_011326-T1
GF00005409	CHIFNET13H1268_009544-T1, CHIFNET13H1268_005943-T1
GF00005410	CHIFNET13H1268_010840-T1, CHIFNET13H1268_010689-T1
GF00005411	CHIFNET13H1268_006801-T1, CHIFNET13H1268_004508-T1
GF00005412	CHIFNET13H1268_002316-T1, CHIFNET13H1268_003402-T1
GF00005413	CHIFNET13H1268_001793-T1, CHIFNET13H1268_001348-T1
GF00005414	CHIFNET13H1268_000821-T1, CHIFNET13H1268_010451-T1
GF00005415	CHIFNET13H1268_004335-T1, CHIFNET13H1268_012462-T1
GF00005416	CHIFNET13H1268_014081-T1, CHIFNET13H1268_006911-T1
GF00005417	CHIFNET13H1268_007859-T1, CHIFNET13H1268_004154-T1
GF00005418	CHIFNET13H1268_001648-T1, CHIFNET13H1268_009234-T1
GF00005419	CHIFNET13H1268_012498-T1, CHIFNET13H1268_008366-T1
GF00005420	CHIFNET13H1268_004328-T1, CHIFNET13H1268_012455-T1
GF00005421	CHIFNET13H1268_007157-T1, CHIFNET13H1268_005996-T1
GF00005422	CHIFNET13H1268_006321-T1, CHIFNET13H1268_002745-T1
GF00005423	CHIFNET13H1268_000542-T1, CHIFNET13H1268_008305-T1
GF00005424	CHIFNET13H1268_005692-T1, CHIFNET13H1268_004728-T1
GF00005425	CHIFNET13H1268_000863-T1, CHIFNET13H1268_003125-T1
GF00005426	CHIFNET13H1268_002650-T1, CHIFNET13H1268_009632-T1
GF00005427	CHIFNET13H1268_002945-T1, CHIFNET13H1268_008562-T1
GF00005428	CHIFNET13H1268_013492-T1, CHIFNET13H1268_011974-T1
GF00005429	CHIFNET13H1268_000800-T1, CHIFNET13H1268_010430-T1
GF00005430	CHIFNET13H1268_004784-T1, CHIFNET13H1268_005635-T1
GF00005431	CHIFNET13H1268_007720-T1, CHIFNET13H1268_011654-T1
GF00005432	CHIFNET13H1268_006922-T1, CHIFNET13H1268_014070-T1
GF00005433	CHIFNET13H1268_011687-T1, CHIFNET13H1268_004885-T1
GF00005434	CHIFNET13H1268_008651-T1, CHIFNET13H1268_014168-T1
GF00005435	CHIFNET13H1268_003384-T1, CHIFNET13H1268_002334-T1
GF00005436	CHIFNET13H1268_000703-T1, CHIFNET13H1268_005188-T1
GF00005437	CHIFNET13H1268_006910-T1, CHIFNET13H1268_014082-T1
GF00005438	CHIFNET13H1268_011788-T1, CHIFNET13H1268_000484-T1
GF00005439	CHIFNET13H1268_006574-T1, CHIFNET13H1268_000138-T1
GF00005440	CHIFNET13H1268_009120-T1, CHIFNET13H1268_006682-T1
GF00005441	CHIFNET13H1268_014881-T1, CHIFNET13H1268_014311-T1
GF00005442	CHIFNET13H1268_006559-T1, CHIFNET13H1268_012269-T1
GF00005443	CHIFNET13H1268_002912-T1, CHIFNET13H1268_009065-T1
GF00005444	CHIFNET13H1268_009813-T1, CHIFNET13H1268_009902-T1
GF00005445	CHIFNET13H1268_013539-T1, CHIFNET13H1268_006500-T1
GF00005446	CHIFNET13H1268_005842-T1, CHIFNET13H1268_006965-T1
GF00005447	CHIFNET13H1268_012097-T1, CHIFNET13H1268_007767-T1
GF00005448	CHIFNET13H1268_011020-T1, CHIFNET13H1268_004007-T1
GF00005449	CHIFNET13H1268_000417-T1, CHIFNET13H1268_001908-T1
GF00005450	CHIFNET13H1268_004773-T1, CHIFNET13H1268_005647-T1
GF00005451	CHIFNET13H1268_009467-T1, CHIFNET13H1268_009776-T1
GF00005452	CHIFNET13H1268_013961-T1, CHIFNET13H1268_013818-T1
GF00005453	CHIFNET13H1268_013475-T1, CHIFNET13H1268_007190-T1
GF00005454	CHIFNET13H1268_014869-T1, CHIFNET13H1268_014868-T1
GF00005455	CHIFNET13H1268_014050-T1, CHIFNET13H1268_012990-T1
GF00005456	CHIFNET13H1268_012225-T1, CHIFNET13H1268_008287-T1
GF00005457	CHIFNET13H1268_015011-T1, CHIFNET13H1268_011739-T1
GF00005458	CHIFNET13H1268_003993-T1, CHIFNET13H1268_008662-T1
GF00005459	CHIFNET13H1268_003516-T1, CHIFNET13H1268_002244-T1
GF00005460	CHIFNET13H1268_004532-T1, CHIFNET13H1268_006773-T1
GF00005461	CHIFNET13H1268_002312-T1, CHIFNET13H1268_003406-T1
GF00005462	CHIFNET13H1268_014501-T1, CHIFNET13H1268_011652-T1
GF00005463	CHIFNET13H1268_000154-T1, CHIFNET13H1268_006617-T1
GF00005464	CHIFNET13H1268_010842-T1, CHIFNET13H1268_010687-T1
GF00005465	CHIFNET13H1268_010171-T1, CHIFNET13H1268_014381-T1
GF00005466	CHIFNET13H1268_002569-T1, CHIFNET13H1268_011166-T1
GF00005467	CHIFNET13H1268_011040-T1, CHIFNET13H1268_004042-T1
GF00005468	CHIFNET13H1268_005561-T1, CHIFNET13H1268_010493-T1
GF00005469	CHIFNET13H1268_014263-T1, CHIFNET13H1268_012981-T1
GF00005470	CHIFNET13H1268_004787-T1, CHIFNET13H1268_005633-T1
GF00005471	CHIFNET13H1268_005602-T1, CHIFNET13H1268_012923-T1
GF00005472	CHIFNET13H1268_013042-T1, CHIFNET13H1268_014802-T1
GF00005473	CHIFNET13H1268_003999-T1, CHIFNET13H1268_011026-T1
GF00005474	CHIFNET13H1268_002694-T1, CHIFNET13H1268_006253-T1
GF00005475	CHIFNET13H1268_011157-T1, CHIFNET13H1268_002611-T1
GF00005476	CHIFNET13H1268_010747-T1, CHIFNET13H1268_007282-T1
GF00005477	CHIFNET13H1268_004921-T1, CHIFNET13H1268_012651-T1
GF00005478	CHIFNET13H1268_005134-T1, CHIFNET13H1268_007090-T1
GF00005479	CHIFNET13H1268_010074-T1, CHIFNET13H1268_005491-T1
GF00005480	CHIFNET13H1268_010559-T1, CHIFNET13H1268_001201-T1
GF00005481	CHIFNET13H1268_011881-T1, CHIFNET13H1268_001085-T1
GF00005482	CHIFNET13H1268_014693-T1, CHIFNET13H1268_009422-T1
GF00005483	CHIFNET13H1268_002668-T1, CHIFNET13H1268_009612-T1
GF00005484	CHIFNET13H1268_003983-T1, CHIFNET13H1268_008671-T1
GF00005485	CHIFNET13H1268_001422-T1, CHIFNET13H1268_005307-T1
GF00005486	CHIFNET13H1268_001766-T1, CHIFNET13H1268_001341-T1
GF00005487	CHIFNET13H1268_007642-T1, CHIFNET13H1268_007448-T1
GF00005488	CHIFNET13H1268_009584-T1, CHIFNET13H1268_006811-T1
GF00005489	CHIFNET13H1268_003446-T1, CHIFNET13H1268_010030-T1
GF00005490	CHIFNET13H1268_007123-T1, CHIFNET13H1268_007564-T1
GF00005491	CHIFNET13H1268_005606-T1, CHIFNET13H1268_004812-T1
GF00005492	CHIFNET13H1268_001232-T1, CHIFNET13H1268_011425-T1
GF00005493	CHIFNET13H1268_009232-T1, CHIFNET13H1268_001646-T1
GF00005494	CHIFNET13H1268_002887-T1, CHIFNET13H1268_009501-T1
GF00005495	CHIFNET13H1268_000565-T1, CHIFNET13H1268_008328-T1
GF00005496	CHIFNET13H1268_001181-T1, CHIFNET13H1268_014286-T1
GF00005497	CHIFNET13H1268_006927-T1, CHIFNET13H1268_005802-T1
GF00005498	CHIFNET13H1268_001344-T1, CHIFNET13H1268_001769-T1
GF00005499	CHIFNET13H1268_001349-T1, CHIFNET13H1268_001794-T1
GF00005500	CHIFNET13H1268_012945-T1, CHIFNET13H1268_005580-T1
GF00005501	CHIFNET13H1268_004961-T1, CHIFNET13H1268_008463-T1
GF00005502	CHIFNET13H1268_013899-T1, CHIFNET13H1268_001584-T1
GF00005503	CHIFNET13H1268_004495-T1, CHIFNET13H1268_012010-T1
GF00005504	CHIFNET13H1268_011275-T1, CHIFNET13H1268_007307-T1
GF00005505	CHIFNET13H1268_009600-T1, CHIFNET13H1268_002679-T1
GF00005506	CHIFNET13H1268_012665-T1, CHIFNET13H1268_004905-T1
GF00005507	CHIFNET13H1268_010715-T1, CHIFNET13H1268_010607-T1
GF00005508	CHIFNET13H1268_006517-T1, CHIFNET13H1268_011952-T1
GF00005509	CHIFNET13H1268_001998-T1, CHIFNET13H1268_014357-T1
GF00005510	CHIFNET13H1268_006921-T1, CHIFNET13H1268_014071-T1
GF00005511	CHIFNET13H1268_002877-T1, CHIFNET13H1268_009509-T1
GF00005512	CHIFNET13H1268_002737-T1, CHIFNET13H1268_006272-T1
GF00005513	CHIFNET13H1268_013468-T1, CHIFNET13H1268_007199-T1
GF00005514	CHIFNET13H1268_006254-T1, CHIFNET13H1268_002695-T1
GF00005515	CHIFNET13H1268_010675-T1, CHIFNET13H1268_010854-T1
GF00005516	CHIFNET13H1268_008657-T1, CHIFNET13H1268_014748-T1
GF00005517	CHIFNET13H1268_014669-T1, CHIFNET13H1268_009406-T1
GF00005518	CHIFNET13H1268_011595-T1, CHIFNET13H1268_012710-T1
GF00005519	CHIFNET13H1268_005990-T1, CHIFNET13H1268_014791-T1
GF00005520	CHIFNET13H1268_006070-T1, CHIFNET13H1268_004932-T1
GF00005521	CHIFNET13H1268_012564-T1, CHIFNET13H1268_001591-T1
GF00005522	CHIFNET13H1268_003564-T1, CHIFNET13H1268_014607-T1
GF00005523	CHIFNET13H1268_008029-T1, CHIFNET13H1268_011188-T1
GF00005524	CHIFNET13H1268_006001-T1, CHIFNET13H1268_007162-T1
GF00005525	CHIFNET13H1268_002324-T1, CHIFNET13H1268_003394-T1
GF00005526	CHIFNET13H1268_007437-T1, CHIFNET13H1268_007632-T1
GF00005527	CHIFNET13H1268_002361-T1, CHIFNET13H1268_003359-T1
GF00005528	CHIFNET13H1268_001616-T1, CHIFNET13H1268_013336-T1
GF00005529	CHIFNET13H1268_001623-T1, CHIFNET13H1268_013330-T1
GF00005530	CHIFNET13H1268_014278-T1, CHIFNET13H1268_001173-T1
GF00005531	CHIFNET13H1268_010330-T1, CHIFNET13H1268_007505-T1
GF00005532	CHIFNET13H1268_010761-T1, CHIFNET13H1268_014545-T1
GF00005533	CHIFNET13H1268_014509-T1, CHIFNET13H1268_011645-T1
GF00005534	CHIFNET13H1268_004696-T1, CHIFNET13H1268_010922-T1
GF00005535	CHIFNET13H1268_013532-T1, CHIFNET13H1268_004717-T1
GF00005536	CHIFNET13H1268_002506-T1, CHIFNET13H1268_011732-T1
GF00005537	CHIFNET13H1268_006214-T1, CHIFNET13H1268_002184-T1
GF00005538	CHIFNET13H1268_014804-T1, CHIFNET13H1268_013039-T1
GF00005539	CHIFNET13H1268_010730-T1, CHIFNET13H1268_010593-T1
GF00005540	CHIFNET13H1268_001200-T1, CHIFNET13H1268_010560-T1
GF00005541	CHIFNET13H1268_002194-T1, CHIFNET13H1268_006224-T1
GF00005542	CHIFNET13H1268_003405-T1, CHIFNET13H1268_002313-T1
GF00005543	CHIFNET13H1268_010446-T1, CHIFNET13H1268_000816-T1
GF00005544	CHIFNET13H1268_013663-T1, CHIFNET13H1268_001113-T1
GF00005545	CHIFNET13H1268_011387-T1, CHIFNET13H1268_014439-T1
GF00005546	CHIFNET13H1268_002382-T1, CHIFNET13H1268_003334-T1
GF00005547	CHIFNET13H1268_012336-T1, CHIFNET13H1268_012335-T1
GF00005548	CHIFNET13H1268_011853-T1, CHIFNET13H1268_008917-T1
GF00005549	CHIFNET13H1268_006961-T1, CHIFNET13H1268_005838-T1
GF00005550	CHIFNET13H1268_010424-T1, CHIFNET13H1268_000793-T1
GF00005551	CHIFNET13H1268_002243-T1, CHIFNET13H1268_003517-T1
GF00005552	CHIFNET13H1268_013315-T1, CHIFNET13H1268_000477-T1
GF00005553	CHIFNET13H1268_012164-T1, CHIFNET13H1268_004588-T1
GF00005554	CHIFNET13H1268_014753-T1, CHIFNET13H1268_014722-T1
GF00005555	CHIFNET13H1268_000031-T1, CHIFNET13H1268_007573-T1
GF00005556	CHIFNET13H1268_003145-T1, CHIFNET13H1268_000843-T1
GF00005557	CHIFNET13H1268_003431-T1, CHIFNET13H1268_013019-T1
GF00005558	CHIFNET13H1268_012605-T1, CHIFNET13H1268_011095-T1
GF00005559	CHIFNET13H1268_007529-T1, CHIFNET13H1268_008723-T1
GF00005560	CHIFNET13H1268_003598-T1, CHIFNET13H1268_000280-T1
GF00005561	CHIFNET13H1268_007622-T1, CHIFNET13H1268_007424-T1
GF00005562	CHIFNET13H1268_011919-T1, CHIFNET13H1268_012067-T1
GF00005563	CHIFNET13H1268_007456-T1, CHIFNET13H1268_007650-T1
GF00005564	CHIFNET13H1268_002552-T1, CHIFNET13H1268_010786-T1
GF00005565	CHIFNET13H1268_005951-T1, CHIFNET13H1268_011763-T1
GF00005566	CHIFNET13H1268_009191-T1, CHIFNET13H1268_010529-T1
GF00005567	CHIFNET13H1268_002296-T1, CHIFNET13H1268_003420-T1
GF00005568	CHIFNET13H1268_007923-T1, CHIFNET13H1268_001709-T1
GF00005569	CHIFNET13H1268_013596-T1, CHIFNET13H1268_007218-T1
GF00005570	CHIFNET13H1268_013303-T1, CHIFNET13H1268_008478-T1
GF00005571	CHIFNET13H1268_013396-T1, CHIFNET13H1268_002134-T1
GF00005572	CHIFNET13H1268_011262-T1, CHIFNET13H1268_007293-T1
GF00005573	CHIFNET13H1268_014213-T1, CHIFNET13H1268_006024-T1
GF00005574	CHIFNET13H1268_009532-T1, CHIFNET13H1268_002851-T1
GF00005575	CHIFNET13H1268_008571-T1, CHIFNET13H1268_002935-T1
GF00005576	CHIFNET13H1268_000891-T1, CHIFNET13H1268_003656-T1
GF00005577	CHIFNET13H1268_000876-T1, CHIFNET13H1268_003112-T1
GF00005578	CHIFNET13H1268_007496-T1, CHIFNET13H1268_010321-T1
GF00005579	CHIFNET13H1268_013058-T1, CHIFNET13H1268_005421-T1
GF00005580	CHIFNET13H1268_005339-T1, CHIFNET13H1268_003210-T1
GF00005581	CHIFNET13H1268_011962-T1, CHIFNET13H1268_014404-T1
GF00005582	CHIFNET13H1268_007956-T1, CHIFNET13H1268_010892-T1
GF00005583	CHIFNET13H1268_003944-T1, CHIFNET13H1268_012525-T1
GF00005584	CHIFNET13H1268_009451-T1, CHIFNET13H1268_009758-T1
GF00005585	CHIFNET13H1268_008273-T1, CHIFNET13H1268_012239-T1
GF00005586	CHIFNET13H1268_000228-T1, CHIFNET13H1268_007334-T1
GF00005587	CHIFNET13H1268_008444-T1, CHIFNET13H1268_004978-T1
GF00005588	CHIFNET13H1268_012356-T1, CHIFNET13H1268_012315-T1
GF00005589	CHIFNET13H1268_006936-T1, CHIFNET13H1268_005810-T1
GF00005590	CHIFNET13H1268_014645-T1, CHIFNET13H1268_002210-T1
GF00005591	CHIFNET13H1268_005655-T1, CHIFNET13H1268_004765-T1
GF00005592	CHIFNET13H1268_009321-T1, CHIFNET13H1268_012142-T1
GF00005593	CHIFNET13H1268_011318-T1, CHIFNET13H1268_011535-T1
GF00005594	CHIFNET13H1268_004903-T1, CHIFNET13H1268_012667-T1
GF00005595	CHIFNET13H1268_009434-T1, CHIFNET13H1268_013224-T1
GF00005596	CHIFNET13H1268_011737-T1, CHIFNET13H1268_002512-T1
GF00005597	CHIFNET13H1268_008369-T1, CHIFNET13H1268_012500-T1
GF00005598	CHIFNET13H1268_007558-T1, CHIFNET13H1268_007117-T1
GF00005599	CHIFNET13H1268_007367-T1, CHIFNET13H1268_000256-T1
GF00005600	CHIFNET13H1268_004224-T1, CHIFNET13H1268_008876-T1
GF00005601	CHIFNET13H1268_004781-T1, CHIFNET13H1268_005638-T1
GF00005602	CHIFNET13H1268_010874-T1, CHIFNET13H1268_007939-T1
GF00005603	CHIFNET13H1268_005363-T1, CHIFNET13H1268_003233-T1
GF00005604	CHIFNET13H1268_007512-T1, CHIFNET13H1268_010337-T1
GF00005605	CHIFNET13H1268_009411-T1, CHIFNET13H1268_014675-T1
GF00005606	CHIFNET13H1268_009129-T1, CHIFNET13H1268_006689-T1
GF00005607	CHIFNET13H1268_003639-T1, CHIFNET13H1268_000320-T1
GF00005608	CHIFNET13H1268_012512-T1, CHIFNET13H1268_008380-T1
GF00005609	CHIFNET13H1268_010580-T1, CHIFNET13H1268_010742-T1
GF00005610	CHIFNET13H1268_011551-T1, CHIFNET13H1268_011776-T1
GF00005611	CHIFNET13H1268_009185-T1, CHIFNET13H1268_010535-T1
GF00005612	CHIFNET13H1268_006738-T1, CHIFNET13H1268_004566-T1
GF00005613	CHIFNET13H1268_005019-T1, CHIFNET13H1268_008831-T1
GF00005614	CHIFNET13H1268_014815-T1, CHIFNET13H1268_014795-T1
GF00005615	CHIFNET13H1268_012996-T1, CHIFNET13H1268_014043-T1
GF00005616	CHIFNET13H1268_014295-T1, CHIFNET13H1268_011459-T1
GF00005617	CHIFNET13H1268_013146-T1, CHIFNET13H1268_005798-T1
GF00005618	CHIFNET13H1268_011804-T1, CHIFNET13H1268_012880-T1
GF00005619	CHIFNET13H1268_014931-T1, CHIFNET13H1268_002470-T1
GF00005620	CHIFNET13H1268_010775-T1, CHIFNET13H1268_012753-T1
GF00005621	CHIFNET13H1268_003182-T1, CHIFNET13H1268_005410-T1
GF00005622	CHIFNET13H1268_002438-T1, CHIFNET13H1268_012968-T1
GF00005623	CHIFNET13H1268_000779-T1, CHIFNET13H1268_013937-T1
GF00005624	CHIFNET13H1268_000751-T1, CHIFNET13H1268_003857-T1
GF00005625	CHIFNET13H1268_010968-T1, CHIFNET13H1268_000510-T1
GF00005626	CHIFNET13H1268_013120-T1, CHIFNET13H1268_013236-T1
