	Rhodotorula_mucilaginosa_TFCN_22C-4.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00004653	TFCN22C4_010140-T1	DBVPG3775_006480-T1
GF00004654	TFCN22C4_010141-T1	DBVPG3775_006479-T1
GF00004655	TFCN22C4_013766-T1	DBVPG3775_006478-T1
GF00004656	TFCN22C4_010144-T1	DBVPG3775_006477-T1
GF00004657	TFCN22C4_012798-T1	DBVPG3775_006475-T1
GF00004658	TFCN22C4_010147-T1	DBVPG3775_006474-T1
GF00004659	TFCN22C4_010148-T1	DBVPG3775_006473-T1
GF00004660	TFCN22C4_010150-T1	DBVPG3775_006471-T1
GF00004661	TFCN22C4_010151-T1	DBVPG3775_006470-T1
GF00004662	TFCN22C4_010152-T1	DBVPG3775_006469-T1
GF00004663	TFCN22C4_010153-T1	DBVPG3775_006468-T1
GF00004664	TFCN22C4_010154-T1	DBVPG3775_006467-T1
GF00004665	TFCN22C4_010155-T1	DBVPG3775_006466-T1
GF00004666	TFCN22C4_010156-T1	DBVPG3775_006465-T1
GF00004667	TFCN22C4_010157-T1	DBVPG3775_006464-T1
GF00004668	TFCN22C4_012810-T1	DBVPG3775_006463-T1
GF00004669	TFCN22C4_010159-T1	DBVPG3775_006462-T1
GF00004670	TFCN22C4_010161-T1	DBVPG3775_006460-T1
GF00004671	TFCN22C4_012815-T1	DBVPG3775_006458-T1
GF00004672	TFCN22C4_010164-T1	DBVPG3775_006457-T1
GF00004673	TFCN22C4_013487-T1	DBVPG3775_007493-T1
GF00004674	TFCN22C4_013486-T1	DBVPG3775_007494-T1
GF00004675	TFCN22C4_010200-T1	DBVPG3775_007495-T1
GF00004676	TFCN22C4_010201-T1	DBVPG3775_007496-T1
GF00004677	TFCN22C4_013483-T1	DBVPG3775_007497-T1
GF00004678	TFCN22C4_013482-T1	DBVPG3775_007498-T1
GF00004679	TFCN22C4_010204-T1	DBVPG3775_007499-T1
GF00004680	TFCN22C4_013479-T1	DBVPG3775_007502-T1
GF00004681	TFCN22C4_010295-T1	DBVPG3775_007596-T1
GF00004682	TFCN22C4_013198-T1	DBVPG3775_002797-T1
GF00004683	TFCN22C4_010326-T1	DBVPG3775_002796-T1
GF00004684	TFCN22C4_013200-T1	DBVPG3775_002795-T1
GF00004685	TFCN22C4_010328-T1	DBVPG3775_002793-T1
GF00004686	TFCN22C4_013203-T1	DBVPG3775_002792-T1
GF00004687	TFCN22C4_010330-T1	DBVPG3775_002791-T1
GF00004688	TFCN22C4_013207-T1	DBVPG3775_002788-T1
GF00004689	TFCN22C4_010333-T1	DBVPG3775_002786-T1
GF00004690	TFCN22C4_010334-T1	DBVPG3775_002785-T1
GF00004691	TFCN22C4_013211-T1	DBVPG3775_002784-T1
GF00004692	TFCN22C4_013263-T1	DBVPG3775_003934-T1
GF00004693	TFCN22C4_010367-T1	DBVPG3775_003933-T1
GF00004694	TFCN22C4_010368-T1	DBVPG3775_003932-T1
GF00004695	TFCN22C4_013260-T1	DBVPG3775_003931-T1
GF00004696	TFCN22C4_010370-T1	DBVPG3775_003930-T1
GF00004697	TFCN22C4_013256-T1	DBVPG3775_003927-T1
GF00004698	TFCN22C4_010374-T1	DBVPG3775_003926-T1
GF00004699	TFCN22C4_010375-T1	DBVPG3775_003925-T1
GF00004700	TFCN22C4_010378-T1	DBVPG3775_003923-T1
GF00004701	TFCN22C4_010380-T1	DBVPG3775_003921-T1
GF00004702	TFCN22C4_010381-T1	DBVPG3775_003920-T1
GF00004703	TFCN22C4_010382-T1	DBVPG3775_003919-T1
GF00004704	TFCN22C4_013246-T1	DBVPG3775_003918-T1
GF00004705	TFCN22C4_013617-T1	DBVPG3775_006507-T1
GF00004706	TFCN22C4_013618-T1	DBVPG3775_006508-T1
GF00004707	TFCN22C4_010523-T1	DBVPG3775_007251-T1
GF00004708	TFCN22C4_010524-T1	DBVPG3775_007252-T1
GF00004709	TFCN22C4_010525-T1	DBVPG3775_007253-T1
GF00004710	TFCN22C4_010526-T1	DBVPG3775_007254-T1
GF00004711	TFCN22C4_013504-T1	DBVPG3775_007255-T1
GF00004712	TFCN22C4_010529-T1	DBVPG3775_007257-T1
GF00004713	TFCN22C4_010530-T1	DBVPG3775_007258-T1
GF00004714	TFCN22C4_010540-T1	DBVPG3775_004603-T1
GF00004715	TFCN22C4_010627-T1	DBVPG3775_007434-T1
GF00004716	TFCN22C4_010628-T1	DBVPG3775_007435-T1
GF00004717	TFCN22C4_010629-T1	DBVPG3775_007436-T1
GF00004718	TFCN22C4_010630-T1	DBVPG3775_007437-T1
GF00004719	TFCN22C4_010631-T1	DBVPG3775_007438-T1
GF00004720	TFCN22C4_010632-T1	DBVPG3775_007439-T1
GF00004721	TFCN22C4_010741-T1	DBVPG3775_007440-T1
GF00004722	TFCN22C4_010634-T1	DBVPG3775_007441-T1
GF00004723	TFCN22C4_010636-T1	DBVPG3775_007443-T1
GF00004724	TFCN22C4_010736-T1	DBVPG3775_007445-T1
GF00004725	TFCN22C4_010639-T1	DBVPG3775_007446-T1
GF00004726	TFCN22C4_010734-T1	DBVPG3775_007447-T1
GF00004727	TFCN22C4_010733-T1	DBVPG3775_007448-T1
GF00004728	TFCN22C4_010732-T1	DBVPG3775_007449-T1
GF00004729	TFCN22C4_010730-T1	DBVPG3775_006813-T1
GF00004730	TFCN22C4_010650-T1	DBVPG3775_006807-T1
GF00004731	TFCN22C4_010722-T1	DBVPG3775_006804-T1
GF00004732	TFCN22C4_010654-T1	DBVPG3775_006803-T1
GF00004733	TFCN22C4_010719-T1	DBVPG3775_006801-T1
GF00004734	TFCN22C4_010657-T1	DBVPG3775_006800-T1
GF00004735	TFCN22C4_010661-T1	DBVPG3775_006797-T1
GF00004736	TFCN22C4_010663-T1	DBVPG3775_000724-T1
GF00004737	TFCN22C4_010664-T1	DBVPG3775_000723-T1
GF00004738	TFCN22C4_010665-T1	DBVPG3775_000722-T1
GF00004739	TFCN22C4_012373-T1	DBVPG3775_000720-T1
GF00004740	TFCN22C4_010668-T1	DBVPG3775_000719-T1
GF00004741	TFCN22C4_010669-T1	DBVPG3775_000718-T1
GF00004742	TFCN22C4_012376-T1	DBVPG3775_000717-T1
GF00004743	TFCN22C4_012378-T1	DBVPG3775_000715-T1
GF00004744	TFCN22C4_010673-T1	DBVPG3775_000714-T1
GF00004745	TFCN22C4_010675-T1	DBVPG3775_000712-T1
GF00004746	TFCN22C4_010677-T1	DBVPG3775_000710-T1
GF00004747	TFCN22C4_010679-T1	DBVPG3775_000708-T1
GF00004748	TFCN22C4_010680-T1	DBVPG3775_000707-T1
GF00004749	TFCN22C4_013315-T1	DBVPG3775_000705-T1
GF00004750	TFCN22C4_010689-T1	DBVPG3775_000700-T1
GF00004751	TFCN22C4_010692-T1	DBVPG3775_000697-T1
GF00004752	TFCN22C4_010696-T1	DBVPG3775_000694-T1
GF00004753	TFCN22C4_010699-T1	DBVPG3775_000691-T1
GF00004754	TFCN22C4_010700-T1	DBVPG3775_000690-T1
GF00004755	TFCN22C4_010701-T1	DBVPG3775_000689-T1
GF00004756	TFCN22C4_010702-T1	DBVPG3775_000688-T1
GF00004757	TFCN22C4_010703-T1	DBVPG3775_000687-T1
GF00004758	TFCN22C4_010704-T1	DBVPG3775_000686-T1
GF00004759	TFCN22C4_010706-T1	DBVPG3775_000684-T1
GF00004760	TFCN22C4_010708-T1	DBVPG3775_000682-T1
GF00004761	TFCN22C4_013596-T1	DBVPG3775_000681-T1
GF00004762	TFCN22C4_013598-T1	DBVPG3775_000679-T1
GF00004763	TFCN22C4_013599-T1	DBVPG3775_000678-T1
GF00004764	TFCN22C4_012782-T1	DBVPG3775_002552-T1
GF00004765	TFCN22C4_010856-T1	DBVPG3775_002554-T1
GF00004766	TFCN22C4_010857-T1	DBVPG3775_002555-T1
GF00004767	TFCN22C4_010858-T1	DBVPG3775_002556-T1
GF00004768	TFCN22C4_010861-T1	DBVPG3775_002559-T1
GF00004769	TFCN22C4_011728-T1	DBVPG3775_002560-T1
GF00004770	TFCN22C4_010863-T1	DBVPG3775_002561-T1
GF00004771	TFCN22C4_011730-T1	DBVPG3775_002562-T1
GF00004772	TFCN22C4_011731-T1	DBVPG3775_002563-T1
GF00004773	TFCN22C4_010867-T1	DBVPG3775_002565-T1
GF00004774	TFCN22C4_011734-T1	DBVPG3775_002566-T1
GF00004775	TFCN22C4_011735-T1	DBVPG3775_002567-T1
GF00004776	TFCN22C4_010870-T1	DBVPG3775_002568-T1
GF00004777	TFCN22C4_011739-T1	DBVPG3775_002570-T1
GF00004778	TFCN22C4_011741-T1	DBVPG3775_002572-T1
GF00004779	TFCN22C4_011743-T1	DBVPG3775_002574-T1
GF00004780	TFCN22C4_010877-T1	DBVPG3775_002576-T1
GF00004781	TFCN22C4_011747-T1	DBVPG3775_002578-T1
GF00004782	TFCN22C4_010881-T1	DBVPG3775_002580-T1
GF00004783	TFCN22C4_010882-T1	DBVPG3775_002581-T1
GF00004784	TFCN22C4_011751-T1	DBVPG3775_002582-T1
GF00004785	TFCN22C4_010884-T1	DBVPG3775_002583-T1
GF00004786	TFCN22C4_011753-T1	DBVPG3775_002584-T1
GF00004787	TFCN22C4_011756-T1	DBVPG3775_002588-T1
GF00004788	TFCN22C4_010889-T1	DBVPG3775_002589-T1
GF00004789	TFCN22C4_013742-T1	DBVPG3775_002594-T1
GF00004790	TFCN22C4_010892-T1	DBVPG3775_002593-T1
GF00004791	TFCN22C4_010903-T1	DBVPG3775_004579-T1
GF00004792	TFCN22C4_010904-T1	DBVPG3775_004580-T1
GF00004793	TFCN22C4_011903-T1	DBVPG3775_004581-T1
GF00004794	TFCN22C4_010907-T1	DBVPG3775_004583-T1
GF00004795	TFCN22C4_010908-T1	DBVPG3775_004584-T1
GF00004796	TFCN22C4_011898-T1	DBVPG3775_004587-T1
GF00004797	TFCN22C4_010911-T1	DBVPG3775_004588-T1
GF00004798	TFCN22C4_010912-T1	DBVPG3775_004589-T1
GF00004799	TFCN22C4_010914-T1	DBVPG3775_004591-T1
GF00004800	TFCN22C4_010915-T1	DBVPG3775_004592-T1
GF00004801	TFCN22C4_010920-T1	DBVPG3775_003543-T1
GF00004802	TFCN22C4_011886-T1	DBVPG3775_003545-T1
GF00004803	TFCN22C4_010924-T1	DBVPG3775_003546-T1
GF00004804	TFCN22C4_010925-T1	DBVPG3775_003547-T1
GF00004805	TFCN22C4_011883-T1	DBVPG3775_003548-T1
GF00004806	TFCN22C4_011882-T1	DBVPG3775_003549-T1
GF00004807	TFCN22C4_011880-T1	DBVPG3775_003550-T1
GF00004808	TFCN22C4_010929-T1	DBVPG3775_003551-T1
GF00004809	TFCN22C4_011878-T1	DBVPG3775_003552-T1
GF00004810	TFCN22C4_010931-T1	DBVPG3775_003553-T1
GF00004811	TFCN22C4_011876-T1	DBVPG3775_003554-T1
GF00004812	TFCN22C4_010933-T1	DBVPG3775_003555-T1
GF00004813	TFCN22C4_010934-T1	DBVPG3775_003556-T1
GF00004814	TFCN22C4_012023-T1	DBVPG3775_007222-T1
GF00004815	TFCN22C4_012020-T1	DBVPG3775_007225-T1
GF00004816	TFCN22C4_012018-T1	DBVPG3775_007227-T1
GF00004817	TFCN22C4_010991-T1	DBVPG3775_007228-T1
GF00004818	TFCN22C4_013282-T1	DBVPG3775_006744-T1
GF00004819	TFCN22C4_012147-T1	
GF00004820	TFCN22C4_011411-T1	DBVPG3775_003256-T1
GF00004821	TFCN22C4_011417-T1	DBVPG3775_003262-T1
GF00004822	TFCN22C4_011225-T1	DBVPG3775_003264-T1
GF00004823	TFCN22C4_011226-T1	DBVPG3775_003265-T1
GF00004824	TFCN22C4_011421-T1	DBVPG3775_003266-T1
GF00004825	TFCN22C4_011230-T1	DBVPG3775_003270-T1
GF00004826	TFCN22C4_011233-T1	DBVPG3775_003271-T1
GF00004827	TFCN22C4_011547-T1	DBVPG3775_003272-T1
GF00004828	TFCN22C4_011553-T1	DBVPG3775_003279-T1
GF00004829	TFCN22C4_011240-T1	DBVPG3775_003281-T1
GF00004830	TFCN22C4_011557-T1	DBVPG3775_003283-T1
GF00004831	TFCN22C4_011558-T1	DBVPG3775_003284-T1
GF00004832	TFCN22C4_011246-T1	DBVPG3775_003285-T1
GF00004833	TFCN22C4_011384-T1	DBVPG3775_000246-T1
GF00004834	TFCN22C4_011385-T1	DBVPG3775_000245-T1
GF00004835	TFCN22C4_011386-T1	DBVPG3775_000244-T1
GF00004836	TFCN22C4_013604-T1	DBVPG3775_000243-T1
GF00004837	TFCN22C4_013605-T1	DBVPG3775_000242-T1
GF00004838	TFCN22C4_011389-T1	DBVPG3775_000241-T1
GF00004839	TFCN22C4_013607-T1	DBVPG3775_000240-T1
GF00004840	TFCN22C4_011394-T1	DBVPG3775_003238-T1
GF00004841	TFCN22C4_011395-T1	DBVPG3775_003239-T1
GF00004842	TFCN22C4_011396-T1	DBVPG3775_003240-T1
GF00004843	TFCN22C4_011397-T1	DBVPG3775_003241-T1
GF00004844	TFCN22C4_013071-T1	DBVPG3775_003243-T1
GF00004845	TFCN22C4_011405-T1	DBVPG3775_003250-T1
GF00004846	TFCN22C4_011408-T1	DBVPG3775_003253-T1
GF00004847	TFCN22C4_013899-T1	DBVPG3775_003254-T1
GF00004848	TFCN22C4_011466-T1	DBVPG3775_007201-T1
GF00004849	TFCN22C4_012041-T1	DBVPG3775_007204-T1
GF00004850	TFCN22C4_012040-T1	DBVPG3775_007205-T1
GF00004851	TFCN22C4_012039-T1	DBVPG3775_007206-T1
GF00004852	TFCN22C4_012633-T1	DBVPG3775_003323-T1
GF00004853	TFCN22C4_011511-T1	DBVPG3775_003320-T1
GF00004854	TFCN22C4_011512-T1	DBVPG3775_003319-T1
GF00004855	TFCN22C4_012638-T1	DBVPG3775_003318-T1
GF00004856	TFCN22C4_011514-T1	DBVPG3775_003317-T1
GF00004857	TFCN22C4_011515-T1	DBVPG3775_003316-T1
GF00004858	TFCN22C4_012646-T1	DBVPG3775_003311-T1
GF00004859	TFCN22C4_011520-T1	DBVPG3775_003310-T1
GF00004860	TFCN22C4_012649-T1	DBVPG3775_003308-T1
GF00004861	TFCN22C4_011523-T1	DBVPG3775_003307-T1
GF00004862	TFCN22C4_011527-T1	DBVPG3775_003304-T1
GF00004863	TFCN22C4_011528-T1	DBVPG3775_003303-T1
GF00004864	TFCN22C4_011530-T1	DBVPG3775_003301-T1
GF00004865	TFCN22C4_013816-T1	DBVPG3775_003300-T1
GF00004866	TFCN22C4_011572-T1	DBVPG3775_003298-T1
GF00004867	TFCN22C4_011537-T1	DBVPG3775_003295-T1
GF00004868	TFCN22C4_011568-T1	DBVPG3775_003294-T1
GF00004869	TFCN22C4_011567-T1	DBVPG3775_003293-T1
GF00004870	TFCN22C4_011566-T1	DBVPG3775_003292-T1
GF00004871	TFCN22C4_011564-T1	DBVPG3775_003290-T1
GF00004872	TFCN22C4_013877-T1	DBVPG3775_003287-T1
GF00004873	TFCN22C4_013876-T1	DBVPG3775_003288-T1
GF00004874	TFCN22C4_011761-T1	DBVPG3775_007355-T1
GF00004875	TFCN22C4_013754-T1	DBVPG3775_007356-T1
GF00004876	TFCN22C4_011763-T1	DBVPG3775_007357-T1
GF00004877	TFCN22C4_011768-T1	DBVPG3775_007361-T1
GF00004878	TFCN22C4_012589-T1	DBVPG3775_007358-T1
GF00004879	TFCN22C4_011772-T1	DBVPG3775_007450-T1
GF00004880	TFCN22C4_012603-T1	DBVPG3775_007453-T1
GF00004881	TFCN22C4_011777-T1	DBVPG3775_007456-T1
GF00004882	TFCN22C4_013793-T1	DBVPG3775_007458-T1
GF00004883	TFCN22C4_013791-T1	DBVPG3775_007460-T1
GF00004884	TFCN22C4_011784-T1	DBVPG3775_007462-T1
GF00004885	TFCN22C4_011789-T1	DBVPG3775_000657-T1
GF00004886	TFCN22C4_011864-T1	DBVPG3775_000658-T1
GF00004887	TFCN22C4_011792-T1	DBVPG3775_000660-T1
GF00004888	TFCN22C4_011860-T1	DBVPG3775_000662-T1
GF00004889	TFCN22C4_011796-T1	DBVPG3775_000663-T1
GF00004890	TFCN22C4_011857-T1	DBVPG3775_000665-T1
GF00004891	TFCN22C4_011853-T1	DBVPG3775_000669-T1
GF00004892	TFCN22C4_011802-T1	DBVPG3775_000670-T1
GF00004893	TFCN22C4_011803-T1	DBVPG3775_000671-T1
GF00004894	TFCN22C4_011804-T1	DBVPG3775_000672-T1
GF00004895	TFCN22C4_011848-T1	DBVPG3775_000673-T1
GF00004896	TFCN22C4_011806-T1	DBVPG3775_000674-T1
GF00004897	TFCN22C4_011868-T1	DBVPG3775_000654-T1
GF00004898	TFCN22C4_011812-T1	DBVPG3775_000652-T1
GF00004899	TFCN22C4_011871-T1	DBVPG3775_000651-T1
GF00004900	TFCN22C4_011814-T1	DBVPG3775_000650-T1
GF00004901	TFCN22C4_013686-T1	DBVPG3775_006513-T1
GF00004902	TFCN22C4_011818-T1	DBVPG3775_006515-T1
GF00004903	TFCN22C4_012111-T1	DBVPG3775_006516-T1
GF00004904	TFCN22C4_011820-T1	DBVPG3775_006517-T1
GF00004905	TFCN22C4_011824-T1	DBVPG3775_006521-T1
GF00004906	TFCN22C4_012117-T1	DBVPG3775_006522-T1
GF00004907	TFCN22C4_011830-T1	DBVPG3775_006527-T1
GF00004908	TFCN22C4_011835-T1	DBVPG3775_006532-T1
GF00004909	TFCN22C4_011836-T1	DBVPG3775_006533-T1
GF00004910	TFCN22C4_011837-T1	DBVPG3775_006534-T1
GF00004911	TFCN22C4_012129-T1	DBVPG3775_006535-T1
GF00004912	TFCN22C4_011839-T1	DBVPG3775_006536-T1
GF00004913	TFCN22C4_012172-T1	DBVPG3775_006765-T1
GF00004914	TFCN22C4_011911-T1	DBVPG3775_006764-T1
GF00004915	TFCN22C4_011914-T1	DBVPG3775_006761-T1
GF00004916	TFCN22C4_011915-T1	DBVPG3775_006760-T1
GF00004917	TFCN22C4_011916-T1	DBVPG3775_006759-T1
GF00004918	TFCN22C4_013293-T1	DBVPG3775_006756-T1
GF00004919	TFCN22C4_013292-T1	DBVPG3775_006755-T1
GF00004920	TFCN22C4_011921-T1	DBVPG3775_006754-T1
GF00004921	TFCN22C4_012174-T1	DBVPG3775_006769-T1
GF00004922	TFCN22C4_011925-T1	DBVPG3775_006751-T1
GF00004923	TFCN22C4_011926-T1	DBVPG3775_006749-T1
GF00004924	TFCN22C4_011928-T1	DBVPG3775_006747-T1
GF00004925	TFCN22C4_011929-T1	DBVPG3775_006746-T1
GF00004926	TFCN22C4_013281-T1	DBVPG3775_006743-T1
GF00004927	TFCN22C4_011934-T1	DBVPG3775_004268-T1
GF00004928	TFCN22C4_013693-T1	DBVPG3775_004266-T1
GF00004929	TFCN22C4_013694-T1	DBVPG3775_004265-T1
GF00004930	TFCN22C4_013695-T1	DBVPG3775_004264-T1
GF00004931	TFCN22C4_013696-T1	DBVPG3775_004263-T1
GF00004932	TFCN22C4_011943-T1	DBVPG3775_004259-T1
GF00004933	TFCN22C4_011944-T1	DBVPG3775_004258-T1
GF00004934	TFCN22C4_012585-T1	DBVPG3775_004257-T1
GF00004935	TFCN22C4_012584-T1	DBVPG3775_004256-T1
GF00004936	TFCN22C4_011947-T1	DBVPG3775_004255-T1
GF00004937	TFCN22C4_011949-T1	DBVPG3775_004254-T1
GF00004938	TFCN22C4_011951-T1	DBVPG3775_004252-T1
GF00004939	TFCN22C4_012579-T1	DBVPG3775_004251-T1
GF00004940	TFCN22C4_012577-T1	DBVPG3775_004248-T1
GF00004941	TFCN22C4_011955-T1	DBVPG3775_004247-T1
GF00004942	TFCN22C4_013432-T1	DBVPG3775_006768-T1
GF00004943	TFCN22C4_012175-T1	DBVPG3775_006770-T1
GF00004944	TFCN22C4_013434-T1	DBVPG3775_006771-T1
GF00004945	TFCN22C4_012177-T1	DBVPG3775_006772-T1
GF00004946	TFCN22C4_012179-T1	DBVPG3775_006776-T1
GF00004947	TFCN22C4_013106-T1	DBVPG3775_004030-T1
GF00004948	TFCN22C4_013104-T1	DBVPG3775_004032-T1
GF00004949	TFCN22C4_012317-T1	DBVPG3775_004033-T1
GF00004950	TFCN22C4_012319-T1	DBVPG3775_004036-T1
GF00004951	TFCN22C4_012321-T1	DBVPG3775_004038-T1
GF00004952	TFCN22C4_012322-T1	DBVPG3775_004039-T1
GF00004953	TFCN22C4_012327-T1	DBVPG3775_004043-T1
GF00004954	TFCN22C4_012328-T1	DBVPG3775_004044-T1
GF00004955	TFCN22C4_012358-T1	DBVPG3775_000736-T1
GF00004956	TFCN22C4_012937-T1	DBVPG3775_000732-T1
GF00004957	TFCN22C4_012362-T1	DBVPG3775_000731-T1
GF00004958	TFCN22C4_012366-T1	DBVPG3775_000727-T1
GF00004959	TFCN22C4_012367-T1	DBVPG3775_000726-T1
GF00004960	TFCN22C4_012931-T1	DBVPG3775_000725-T1
GF00004961	TFCN22C4_013699-T1	DBVPG3775_007286-T1
GF00004962	TFCN22C4_013700-T1	DBVPG3775_007287-T1
GF00004963	TFCN22C4_013701-T1	DBVPG3775_007288-T1
GF00004964	TFCN22C4_013702-T1	DBVPG3775_007290-T1
GF00004965	TFCN22C4_012487-T1	DBVPG3775_007292-T1
GF00004966	TFCN22C4_013708-T1	DBVPG3775_007295-T1
GF00004967	TFCN22C4_012491-T1	DBVPG3775_007296-T1
GF00004968	TFCN22C4_012493-T1	DBVPG3775_007299-T1
GF00004969	TFCN22C4_012494-T1	DBVPG3775_007300-T1
GF00004970	TFCN22C4_012495-T1	DBVPG3775_007301-T1
GF00004971	TFCN22C4_013084-T1	DBVPG3775_007302-T1
GF00004972	TFCN22C4_013085-T1	DBVPG3775_007303-T1
GF00004973	TFCN22C4_012498-T1	DBVPG3775_007304-T1
GF00004974	TFCN22C4_013087-T1	DBVPG3775_007305-T1
GF00004975	TFCN22C4_012500-T1	DBVPG3775_007306-T1
GF00004976	TFCN22C4_012501-T1	DBVPG3775_007307-T1
GF00004977	TFCN22C4_012574-T1	DBVPG3775_004244-T1
GF00004978	TFCN22C4_012575-T1	DBVPG3775_004245-T1
GF00004979	TFCN22C4_012694-T1	DBVPG3775_007013-T1
GF00004980	TFCN22C4_012695-T1	DBVPG3775_007014-T1
GF00004981	TFCN22C4_012698-T1	DBVPG3775_007017-T1
GF00004982	TFCN22C4_012700-T1	DBVPG3775_007019-T1
GF00004983	TFCN22C4_012667-T1	DBVPG3775_007024-T1
GF00004984	TFCN22C4_012707-T1	DBVPG3775_007026-T1
GF00004985	TFCN22C4_012671-T1	DBVPG3775_007028-T1
GF00004986	TFCN22C4_012710-T1	DBVPG3775_007029-T1
GF00004987	TFCN22C4_012673-T1	DBVPG3775_007030-T1
GF00004988	TFCN22C4_012674-T1	DBVPG3775_007031-T1
GF00004989	TFCN22C4_013233-T1	DBVPG3775_002721-T1
GF00004990	TFCN22C4_012683-T1	DBVPG3775_002719-T1
GF00004991	TFCN22C4_013236-T1	DBVPG3775_002718-T1
GF00004992	TFCN22C4_013237-T1	DBVPG3775_002717-T1
GF00004993	TFCN22C4_013239-T1	DBVPG3775_002715-T1
GF00004994	TFCN22C4_012688-T1	DBVPG3775_002714-T1
GF00004995	TFCN22C4_013242-T1	DBVPG3775_002713-T1
GF00004996	TFCN22C4_013243-T1	DBVPG3775_002712-T1
GF00004997	TFCN22C4_013244-T1	DBVPG3775_002711-T1
GF00004998	TFCN22C4_012788-T1	DBVPG3775_002546-T1
GF00004999	TFCN22C4_013143-T1	DBVPG3775_002545-T1
GF00005000	TFCN22C4_013144-T1	DBVPG3775_002544-T1
GF00005001	TFCN22C4_013147-T1	DBVPG3775_002541-T1
GF00005002	TFCN22C4_012794-T1	DBVPG3775_002540-T1
GF00005003	TFCN22C4_013059-T1	DBVPG3775_007032-T1
GF00005004	TFCN22C4_012823-T1	DBVPG3775_007035-T1
GF00005005	TFCN22C4_013055-T1	DBVPG3775_007036-T1
GF00005006	TFCN22C4_012825-T1	DBVPG3775_007037-T1
GF00005007	TFCN22C4_012827-T1	DBVPG3775_007039-T1
GF00005008	TFCN22C4_012828-T1	DBVPG3775_007040-T1
GF00005009	TFCN22C4_012831-T1	DBVPG3775_007043-T1
GF00005010	TFCN22C4_013049-T1	DBVPG3775_007044-T1
GF00005011	TFCN22C4_012833-T1	DBVPG3775_007045-T1
GF00005012	TFCN22C4_012834-T1	DBVPG3775_007046-T1
GF00005013	TFCN22C4_012840-T1	DBVPG3775_002860-T1
GF00005014	TFCN22C4_013022-T1	DBVPG3775_002861-T1
GF00005015	TFCN22C4_012842-T1	DBVPG3775_002862-T1
GF00005016	TFCN22C4_013020-T1	DBVPG3775_002863-T1
GF00005017	TFCN22C4_012844-T1	DBVPG3775_002864-T1
GF00005018	TFCN22C4_013018-T1	DBVPG3775_002865-T1
GF00005019	TFCN22C4_013017-T1	DBVPG3775_002866-T1
GF00005020	TFCN22C4_012847-T1	DBVPG3775_002867-T1
GF00005021	TFCN22C4_012848-T1	DBVPG3775_002868-T1
GF00005022	TFCN22C4_012850-T1	DBVPG3775_002870-T1
GF00005023	TFCN22C4_013012-T1	DBVPG3775_002871-T1
GF00005024	TFCN22C4_013011-T1	DBVPG3775_002872-T1
GF00005025	TFCN22C4_013010-T1	DBVPG3775_002873-T1
GF00005026	TFCN22C4_012854-T1	DBVPG3775_002874-T1
GF00005027	TFCN22C4_012855-T1	DBVPG3775_002875-T1
GF00005028	TFCN22C4_012856-T1	DBVPG3775_002876-T1
GF00005029	TFCN22C4_012943-T1	DBVPG3775_000739-T1
GF00005030	TFCN22C4_012945-T1	DBVPG3775_000741-T1
GF00005031	TFCN22C4_012946-T1	DBVPG3775_000742-T1
GF00005032	TFCN22C4_012947-T1	DBVPG3775_000743-T1
GF00005033	TFCN22C4_012948-T1	DBVPG3775_000744-T1
GF00005034	TFCN22C4_013651-T1	DBVPG3775_000745-T1
GF00005035	TFCN22C4_013389-T1	DBVPG3775_007464-T1
GF00005036	TFCN22C4_013327-T1	DBVPG3775_007465-T1
GF00005037	TFCN22C4_013328-T1	DBVPG3775_007467-T1
GF00005038	TFCN22C4_013386-T1	DBVPG3775_007468-T1
GF00005039	TFCN22C4_013330-T1	DBVPG3775_007469-T1
GF00005040	TFCN22C4_013383-T1	DBVPG3775_007471-T1
GF00005041	TFCN22C4_013333-T1	DBVPG3775_007472-T1
GF00005042	TFCN22C4_013334-T1	DBVPG3775_007474-T1
GF00005043	TFCN22C4_013335-T1	DBVPG3775_007475-T1
GF00005044	TFCN22C4_013336-T1	DBVPG3775_007476-T1
GF00005045	TFCN22C4_013453-T1	DBVPG3775_006783-T1
GF00005046	TFCN22C4_013532-T1	DBVPG3775_006785-T1
GF00005047	TFCN22C4_013457-T1	DBVPG3775_006787-T1
GF00005048	TFCN22C4_013528-T1	DBVPG3775_006789-T1
GF00005049	TFCN22C4_013460-T1	DBVPG3775_006791-T1
GF00005050	TFCN22C4_013461-T1	DBVPG3775_006792-T1
GF00005051	TFCN22C4_013462-T1	DBVPG3775_006793-T1
GF00005052	TFCN22C4_013524-T1	DBVPG3775_006794-T1
GF00005053	TFCN22C4_013477-T1	DBVPG3775_007504-T1
GF00005054	TFCN22C4_013478-T1	DBVPG3775_007503-T1
GF00005055	TFCN22C4_013514-T1	
GF00005056	TFCN22C4_013675-T1	DBVPG3775_006542-T1
GF00005057	TFCN22C4_013518-T1	DBVPG3775_006543-T1
GF00005058	TFCN22C4_013520-T1	DBVPG3775_006547-T1
GF00005059	TFCN22C4_013522-T1	DBVPG3775_006549-T1
GF00005060	TFCN22C4_013620-T1	DBVPG3775_006510-T1
GF00005061	TFCN22C4_013621-T1	DBVPG3775_006511-T1
GF00005062	TFCN22C4_013719-T1	DBVPG3775_004241-T1
