	Rhodotorula_mucilaginosa_CHIFNET_13H1268.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00005131	CHIFNET13H1268_010188-T1	DBVPG3775_003241-T1
GF00005132	CHIFNET13H1268_010196-T1	DBVPG3775_003250-T1
GF00005133	CHIFNET13H1268_013068-T1	DBVPG3775_003253-T1
GF00005134	CHIFNET13H1268_010201-T1	DBVPG3775_003256-T1
GF00005135	CHIFNET13H1268_014443-T1	DBVPG3775_003262-T1
GF00005136	CHIFNET13H1268_014769-T1	DBVPG3775_005787-T1
GF00005137	CHIFNET13H1268_010388-T1	DBVPG3775_005786-T1
GF00005138	CHIFNET13H1268_010581-T1	DBVPG3775_007013-T1
GF00005139	CHIFNET13H1268_010582-T1	DBVPG3775_007014-T1
GF00005140	CHIFNET13H1268_010585-T1	DBVPG3775_007017-T1
GF00005141	CHIFNET13H1268_010587-T1	DBVPG3775_007019-T1
GF00005142	CHIFNET13H1268_010588-T1	DBVPG3775_007020-T1
GF00005143	CHIFNET13H1268_010734-T1	DBVPG3775_007021-T1
GF00005144	CHIFNET13H1268_010592-T1	DBVPG3775_007024-T1
GF00005145	CHIFNET13H1268_010594-T1	DBVPG3775_007026-T1
GF00005146	CHIFNET13H1268_010597-T1	DBVPG3775_007029-T1
GF00005147	CHIFNET13H1268_010724-T1	DBVPG3775_007030-T1
GF00005148	CHIFNET13H1268_010723-T1	DBVPG3775_007031-T1
GF00005149	CHIFNET13H1268_010722-T1	DBVPG3775_007032-T1
GF00005150	CHIFNET13H1268_010719-T1	DBVPG3775_007035-T1
GF00005151	CHIFNET13H1268_010604-T1	DBVPG3775_007036-T1
GF00005152	CHIFNET13H1268_010605-T1	DBVPG3775_007037-T1
GF00005153	CHIFNET13H1268_010716-T1	DBVPG3775_007038-T1
GF00005154	CHIFNET13H1268_010715-T1	DBVPG3775_007039-T1
GF00005155	CHIFNET13H1268_010608-T1	DBVPG3775_007040-T1
GF00005156	CHIFNET13H1268_010612-T1	DBVPG3775_007043-T1
GF00005157	CHIFNET13H1268_010712-T1	DBVPG3775_007044-T1
GF00005158	CHIFNET13H1268_010711-T1	DBVPG3775_007045-T1
GF00005159	CHIFNET13H1268_010615-T1	DBVPG3775_007046-T1
GF00005160	CHIFNET13H1268_010673-T1	DBVPG3775_003943-T1
GF00005161	CHIFNET13H1268_010855-T1	DBVPG3775_003944-T1
GF00005162	CHIFNET13H1268_010675-T1	DBVPG3775_003945-T1
GF00005163	CHIFNET13H1268_010676-T1	DBVPG3775_003946-T1
GF00005164	CHIFNET13H1268_010848-T1	DBVPG3775_003950-T1
GF00005165	CHIFNET13H1268_010682-T1	DBVPG3775_003951-T1
GF00005166	CHIFNET13H1268_010845-T1	DBVPG3775_003953-T1
GF00005167	CHIFNET13H1268_010686-T1	DBVPG3775_003955-T1
GF00005168	CHIFNET13H1268_010687-T1	DBVPG3775_003956-T1
GF00005169	CHIFNET13H1268_010841-T1	DBVPG3775_003957-T1
GF00005170	CHIFNET13H1268_010689-T1	DBVPG3775_003958-T1
GF00005171	CHIFNET13H1268_010690-T1	DBVPG3775_003959-T1
GF00005172	CHIFNET13H1268_010691-T1	DBVPG3775_003960-T1
GF00005173	CHIFNET13H1268_010693-T1	DBVPG3775_003962-T1
GF00005174	CHIFNET13H1268_010694-T1	DBVPG3775_003963-T1
GF00005175	CHIFNET13H1268_010832-T1	DBVPG3775_003966-T1
GF00005176	CHIFNET13H1268_010698-T1	DBVPG3775_003967-T1
GF00005177	CHIFNET13H1268_010700-T1	DBVPG3775_003969-T1
GF00005178	CHIFNET13H1268_013034-T1	DBVPG3775_001241-T1
GF00005179	CHIFNET13H1268_010702-T1	DBVPG3775_003971-T1
GF00005180	CHIFNET13H1268_010703-T1	DBVPG3775_003972-T1
GF00005181	CHIFNET13H1268_014542-T1	DBVPG3775_007264-T1
GF00005182	CHIFNET13H1268_014539-T1	DBVPG3775_007262-T1
GF00005183	CHIFNET13H1268_014538-T1	DBVPG3775_007261-T1
GF00005184	CHIFNET13H1268_014537-T1	DBVPG3775_007260-T1
GF00005185	CHIFNET13H1268_010768-T1	DBVPG3775_007259-T1
GF00005186	CHIFNET13H1268_010769-T1	DBVPG3775_007307-T1
GF00005187	CHIFNET13H1268_012749-T1	DBVPG3775_007306-T1
GF00005188	CHIFNET13H1268_012750-T1	DBVPG3775_007305-T1
GF00005189	CHIFNET13H1268_012751-T1	DBVPG3775_007304-T1
GF00005190	CHIFNET13H1268_010773-T1	DBVPG3775_007303-T1
GF00005191	CHIFNET13H1268_012753-T1	DBVPG3775_007301-T1
GF00005192	CHIFNET13H1268_010860-T1	DBVPG3775_003939-T1
GF00005193	CHIFNET13H1268_010861-T1	DBVPG3775_003938-T1
GF00005194	CHIFNET13H1268_010862-T1	DBVPG3775_003937-T1
GF00005195	CHIFNET13H1268_014231-T1	DBVPG3775_003936-T1
GF00005196	CHIFNET13H1268_010865-T1	DBVPG3775_003934-T1
GF00005197	CHIFNET13H1268_014234-T1	DBVPG3775_003933-T1
GF00005198	CHIFNET13H1268_010998-T1	DBVPG3775_005319-T1
GF00005199	CHIFNET13H1268_014027-T1	DBVPG3775_005320-T1
GF00005200	CHIFNET13H1268_013481-T1	DBVPG3775_006121-T1
GF00005201	CHIFNET13H1268_011075-T1	DBVPG3775_004109-T1
GF00005202	CHIFNET13H1268_014633-T1	DBVPG3775_004110-T1
GF00005203	CHIFNET13H1268_011077-T1	DBVPG3775_004111-T1
GF00005204	CHIFNET13H1268_011078-T1	DBVPG3775_004112-T1
GF00005205	CHIFNET13H1268_014630-T1	DBVPG3775_004350-T1
GF00005206	CHIFNET13H1268_014629-T1	DBVPG3775_004349-T1
GF00005207	CHIFNET13H1268_012615-T1	DBVPG3775_004345-T1
GF00005208	CHIFNET13H1268_011084-T1	DBVPG3775_004344-T1
GF00005209	CHIFNET13H1268_011087-T1	DBVPG3775_004341-T1
GF00005210	CHIFNET13H1268_011088-T1	DBVPG3775_004340-T1
GF00005211	CHIFNET13H1268_012609-T1	DBVPG3775_004338-T1
GF00005212	CHIFNET13H1268_011091-T1	DBVPG3775_004337-T1
GF00005213	CHIFNET13H1268_011093-T1	DBVPG3775_004334-T1
GF00005214	CHIFNET13H1268_011095-T1	DBVPG3775_004332-T1
GF00005215	CHIFNET13H1268_012606-T1	DBVPG3775_004331-T1
GF00005216	CHIFNET13H1268_011099-T1	DBVPG3775_004328-T1
GF00005217	CHIFNET13H1268_011102-T1	DBVPG3775_004323-T1
GF00005218	CHIFNET13H1268_011103-T1	DBVPG3775_004322-T1
GF00005219	CHIFNET13H1268_011104-T1	DBVPG3775_004321-T1
GF00005220	CHIFNET13H1268_011315-T1	DBVPG3775_005903-T1
GF00005221	CHIFNET13H1268_011316-T1	DBVPG3775_005904-T1
GF00005222	CHIFNET13H1268_011536-T1	DBVPG3775_005905-T1
GF00005223	CHIFNET13H1268_011318-T1	DBVPG3775_005906-T1
GF00005224	CHIFNET13H1268_011534-T1	DBVPG3775_005907-T1
GF00005225	CHIFNET13H1268_011533-T1	DBVPG3775_005908-T1
GF00005226	CHIFNET13H1268_011532-T1	DBVPG3775_005909-T1
GF00005227	CHIFNET13H1268_011531-T1	DBVPG3775_005910-T1
GF00005228	CHIFNET13H1268_011325-T1	DBVPG3775_005911-T1
GF00005229	CHIFNET13H1268_011326-T1	DBVPG3775_005912-T1
GF00005230	CHIFNET13H1268_011528-T1	DBVPG3775_005913-T1
GF00005231	CHIFNET13H1268_011525-T1	DBVPG3775_005916-T1
GF00005232	CHIFNET13H1268_011332-T1	DBVPG3775_005917-T1
GF00005233	CHIFNET13H1268_011523-T1	DBVPG3775_005918-T1
GF00005234	CHIFNET13H1268_011334-T1	DBVPG3775_005919-T1
GF00005235	CHIFNET13H1268_011521-T1	DBVPG3775_005920-T1
GF00005236	CHIFNET13H1268_011520-T1	DBVPG3775_005921-T1
GF00005237	CHIFNET13H1268_011337-T1	DBVPG3775_005922-T1
GF00005238	CHIFNET13H1268_011518-T1	DBVPG3775_005923-T1
GF00005239	CHIFNET13H1268_011514-T1	DBVPG3775_005926-T1
GF00005240	CHIFNET13H1268_011513-T1	DBVPG3775_005927-T1
GF00005241	CHIFNET13H1268_011512-T1	DBVPG3775_005928-T1
GF00005242	CHIFNET13H1268_011510-T1	DBVPG3775_005930-T1
GF00005243	CHIFNET13H1268_011509-T1	DBVPG3775_005931-T1
GF00005244	CHIFNET13H1268_011507-T1	DBVPG3775_005933-T1
GF00005245	CHIFNET13H1268_011386-T1	DBVPG3775_004259-T1
GF00005246	CHIFNET13H1268_014439-T1	DBVPG3775_004258-T1
GF00005247	CHIFNET13H1268_014438-T1	DBVPG3775_004257-T1
GF00005248	CHIFNET13H1268_011992-T1	DBVPG3775_004256-T1
GF00005249	CHIFNET13H1268_011390-T1	DBVPG3775_004255-T1
GF00005250	CHIFNET13H1268_011392-T1	DBVPG3775_004254-T1
GF00005251	CHIFNET13H1268_011394-T1	DBVPG3775_004252-T1
GF00005252	CHIFNET13H1268_011395-T1	DBVPG3775_004251-T1
GF00005253	CHIFNET13H1268_011398-T1	DBVPG3775_004248-T1
GF00005254	CHIFNET13H1268_012000-T1	DBVPG3775_004247-T1
GF00005255	CHIFNET13H1268_011401-T1	DBVPG3775_004245-T1
GF00005256	CHIFNET13H1268_012002-T1	DBVPG3775_004244-T1
GF00005257	CHIFNET13H1268_011405-T1	DBVPG3775_004241-T1
GF00005258	CHIFNET13H1268_011406-T1	DBVPG3775_004240-T1
GF00005259	CHIFNET13H1268_011407-T1	DBVPG3775_004239-T1
GF00005260	CHIFNET13H1268_012023-T1	DBVPG3775_007214-T1
GF00005261	CHIFNET13H1268_011440-T1	DBVPG3775_007213-T1
GF00005262	CHIFNET13H1268_011441-T1	DBVPG3775_007212-T1
GF00005263	CHIFNET13H1268_011442-T1	DBVPG3775_007211-T1
GF00005264	CHIFNET13H1268_011445-T1	DBVPG3775_007208-T1
GF00005265	CHIFNET13H1268_011447-T1	DBVPG3775_007206-T1
GF00005266	CHIFNET13H1268_011448-T1	DBVPG3775_007205-T1
GF00005267	CHIFNET13H1268_011449-T1	DBVPG3775_007204-T1
GF00005268	CHIFNET13H1268_012034-T1	DBVPG3775_007203-T1
GF00005269	CHIFNET13H1268_011452-T1	DBVPG3775_007201-T1
GF00005270	CHIFNET13H1268_011455-T1	DBVPG3775_007392-T1
GF00005271	CHIFNET13H1268_014294-T1	DBVPG3775_007387-T1
GF00005272	CHIFNET13H1268_011459-T1	DBVPG3775_007386-T1
GF00005273	CHIFNET13H1268_011460-T1	DBVPG3775_007385-T1
GF00005274	CHIFNET13H1268_011461-T1	DBVPG3775_007384-T1
GF00005275	CHIFNET13H1268_011462-T1	DBVPG3775_007383-T1
GF00005276	CHIFNET13H1268_011463-T1	DBVPG3775_007382-T1
GF00005277	CHIFNET13H1268_014300-T1	DBVPG3775_007381-T1
GF00005278	CHIFNET13H1268_014301-T1	DBVPG3775_007380-T1
GF00005279	CHIFNET13H1268_011466-T1	DBVPG3775_007379-T1
GF00005280	CHIFNET13H1268_011468-T1	DBVPG3775_007377-T1
GF00005281	CHIFNET13H1268_011471-T1	DBVPG3775_007374-T1
GF00005282	CHIFNET13H1268_011472-T1	DBVPG3775_007373-T1
GF00005283	CHIFNET13H1268_011475-T1	DBVPG3775_007370-T1
GF00005284	CHIFNET13H1268_011543-T1	DBVPG3775_005543-T1
GF00005285	CHIFNET13H1268_011544-T1	DBVPG3775_005542-T1
GF00005286	CHIFNET13H1268_011547-T1	DBVPG3775_005539-T1
GF00005287	CHIFNET13H1268_011548-T1	DBVPG3775_005538-T1
GF00005288	CHIFNET13H1268_011549-T1	DBVPG3775_005537-T1
GF00005289	CHIFNET13H1268_011777-T1	DBVPG3775_005536-T1
GF00005290	CHIFNET13H1268_011776-T1	DBVPG3775_005535-T1
GF00005291	CHIFNET13H1268_011554-T1	DBVPG3775_005532-T1
GF00005292	CHIFNET13H1268_011556-T1	DBVPG3775_005530-T1
GF00005293	CHIFNET13H1268_011558-T1	DBVPG3775_005527-T1
GF00005294	CHIFNET13H1268_011559-T1	DBVPG3775_005526-T1
GF00005295	CHIFNET13H1268_011575-T1	DBVPG3775_000512-T1
GF00005296	CHIFNET13H1268_011576-T1	DBVPG3775_000511-T1
GF00005297	CHIFNET13H1268_012697-T1	DBVPG3775_000510-T1
GF00005298	CHIFNET13H1268_011578-T1	DBVPG3775_000509-T1
GF00005299	CHIFNET13H1268_011581-T1	DBVPG3775_000506-T1
GF00005300	CHIFNET13H1268_011582-T1	DBVPG3775_000505-T1
GF00005301	CHIFNET13H1268_012703-T1	DBVPG3775_000504-T1
GF00005302	CHIFNET13H1268_011585-T1	DBVPG3775_000501-T1
GF00005303	CHIFNET13H1268_011587-T1	DBVPG3775_000499-T1
GF00005304	CHIFNET13H1268_011588-T1	DBVPG3775_000498-T1
GF00005305	CHIFNET13H1268_012709-T1	DBVPG3775_000497-T1
GF00005306	CHIFNET13H1268_012710-T1	DBVPG3775_000491-T1
GF00005307	CHIFNET13H1268_011596-T1	DBVPG3775_000490-T1
GF00005308	CHIFNET13H1268_011597-T1	DBVPG3775_000489-T1
GF00005309	CHIFNET13H1268_011599-T1	DBVPG3775_000486-T1
GF00005310	CHIFNET13H1268_011600-T1	DBVPG3775_000485-T1
GF00005311	CHIFNET13H1268_011601-T1	DBVPG3775_000484-T1
GF00005312	CHIFNET13H1268_014508-T1	DBVPG3775_001023-T1
GF00005313	CHIFNET13H1268_011647-T1	DBVPG3775_001022-T1
GF00005314	CHIFNET13H1268_011648-T1	DBVPG3775_001021-T1
GF00005315	CHIFNET13H1268_011650-T1	DBVPG3775_001019-T1
GF00005316	CHIFNET13H1268_014501-T1	DBVPG3775_001017-T1
GF00005317	CHIFNET13H1268_011653-T1	DBVPG3775_001016-T1
GF00005318	CHIFNET13H1268_011804-T1	DBVPG3775_006765-T1
GF00005319	CHIFNET13H1268_012881-T1	DBVPG3775_006764-T1
GF00005320	CHIFNET13H1268_012882-T1	DBVPG3775_006763-T1
GF00005321	CHIFNET13H1268_011808-T1	DBVPG3775_006761-T1
GF00005322	CHIFNET13H1268_011809-T1	DBVPG3775_006760-T1
GF00005323	CHIFNET13H1268_012887-T1	DBVPG3775_006759-T1
GF00005324	CHIFNET13H1268_012890-T1	DBVPG3775_006756-T1
GF00005325	CHIFNET13H1268_012891-T1	DBVPG3775_006755-T1
GF00005326	CHIFNET13H1268_012892-T1	DBVPG3775_006754-T1
GF00005327	CHIFNET13H1268_011895-T1	DBVPG3775_001665-T1
GF00005328	CHIFNET13H1268_012046-T1	DBVPG3775_001664-T1
GF00005329	CHIFNET13H1268_011897-T1	DBVPG3775_001663-T1
GF00005330	CHIFNET13H1268_011899-T1	DBVPG3775_001661-T1
GF00005331	CHIFNET13H1268_012050-T1	DBVPG3775_001660-T1
GF00005332	CHIFNET13H1268_012051-T1	DBVPG3775_001659-T1
GF00005333	CHIFNET13H1268_011902-T1	DBVPG3775_001658-T1
GF00005334	CHIFNET13H1268_012054-T1	DBVPG3775_001656-T1
GF00005335	CHIFNET13H1268_011905-T1	DBVPG3775_001655-T1
GF00005336	CHIFNET13H1268_011906-T1	DBVPG3775_001654-T1
GF00005337	CHIFNET13H1268_012057-T1	DBVPG3775_001653-T1
GF00005338	CHIFNET13H1268_011908-T1	DBVPG3775_001652-T1
GF00005339	CHIFNET13H1268_011913-T1	DBVPG3775_001648-T1
GF00005340	CHIFNET13H1268_011914-T1	DBVPG3775_001647-T1
GF00005341	CHIFNET13H1268_011915-T1	DBVPG3775_001646-T1
GF00005342	CHIFNET13H1268_012064-T1	DBVPG3775_001645-T1
GF00005343	CHIFNET13H1268_011917-T1	DBVPG3775_001644-T1
GF00005344	CHIFNET13H1268_011918-T1	DBVPG3775_001643-T1
GF00005345	CHIFNET13H1268_011919-T1	DBVPG3775_001642-T1
GF00005346	CHIFNET13H1268_011920-T1	DBVPG3775_001641-T1
GF00005347	CHIFNET13H1268_012070-T1	DBVPG3775_001639-T1
GF00005348	CHIFNET13H1268_014402-T1	DBVPG3775_006146-T1
GF00005349	CHIFNET13H1268_011961-T1	DBVPG3775_006145-T1
GF00005350	CHIFNET13H1268_011962-T1	DBVPG3775_006144-T1
GF00005351	CHIFNET13H1268_011965-T1	DBVPG3775_006141-T1
GF00005352	CHIFNET13H1268_011970-T1	DBVPG3775_006137-T1
GF00005353	CHIFNET13H1268_011973-T1	DBVPG3775_006132-T1
GF00005354	CHIFNET13H1268_011974-T1	DBVPG3775_006131-T1
GF00005355	CHIFNET13H1268_011978-T1	DBVPG3775_006127-T1
GF00005356	CHIFNET13H1268_013486-T1	DBVPG3775_006126-T1
GF00005357	CHIFNET13H1268_011980-T1	DBVPG3775_006125-T1
GF00005358	CHIFNET13H1268_013484-T1	DBVPG3775_006124-T1
GF00005359	CHIFNET13H1268_013483-T1	DBVPG3775_006123-T1
GF00005360	CHIFNET13H1268_011983-T1	DBVPG3775_006122-T1
GF00005361	CHIFNET13H1268_011985-T1	DBVPG3775_006120-T1
GF00005362	CHIFNET13H1268_012261-T1	DBVPG3775_004718-T1
GF00005363	CHIFNET13H1268_012262-T1	DBVPG3775_004719-T1
GF00005364	CHIFNET13H1268_012362-T1	DBVPG3775_003909-T1
GF00005365	CHIFNET13H1268_012361-T1	DBVPG3775_003908-T1
GF00005366	CHIFNET13H1268_012311-T1	DBVPG3775_003907-T1
GF00005367	CHIFNET13H1268_012359-T1	DBVPG3775_003906-T1
GF00005368	CHIFNET13H1268_012313-T1	DBVPG3775_003905-T1
GF00005369	CHIFNET13H1268_012357-T1	DBVPG3775_003904-T1
GF00005370	CHIFNET13H1268_012315-T1	DBVPG3775_003903-T1
GF00005371	CHIFNET13H1268_012317-T1	DBVPG3775_003901-T1
GF00005372	CHIFNET13H1268_012319-T1	DBVPG3775_003899-T1
GF00005373	CHIFNET13H1268_012351-T1	DBVPG3775_003898-T1
GF00005374	CHIFNET13H1268_012350-T1	DBVPG3775_003897-T1
GF00005375	CHIFNET13H1268_012322-T1	DBVPG3775_003896-T1
GF00005376	CHIFNET13H1268_012324-T1	DBVPG3775_003894-T1
GF00005377	CHIFNET13H1268_012326-T1	DBVPG3775_003892-T1
GF00005378	CHIFNET13H1268_012343-T1	DBVPG3775_003890-T1
GF00005379	CHIFNET13H1268_012330-T1	DBVPG3775_003888-T1
GF00005380	CHIFNET13H1268_012331-T1	DBVPG3775_003887-T1
GF00005381	CHIFNET13H1268_012332-T1	DBVPG3775_003886-T1
GF00005382	CHIFNET13H1268_012333-T1	DBVPG3775_003885-T1
GF00005383	CHIFNET13H1268_012745-T1	DBVPG3775_003669-T1
GF00005384	CHIFNET13H1268_014126-T1	DBVPG3775_007300-T1
GF00005385	CHIFNET13H1268_014125-T1	DBVPG3775_007299-T1
GF00005386	CHIFNET13H1268_014124-T1	DBVPG3775_007297-T1
GF00005387	CHIFNET13H1268_012758-T1	DBVPG3775_007296-T1
GF00005388	CHIFNET13H1268_012759-T1	DBVPG3775_007295-T1
GF00005389	CHIFNET13H1268_012762-T1	DBVPG3775_007292-T1
GF00005390	CHIFNET13H1268_012763-T1	DBVPG3775_007291-T1
GF00005391	CHIFNET13H1268_012764-T1	DBVPG3775_007290-T1
GF00005392	CHIFNET13H1268_012766-T1	DBVPG3775_007288-T1
GF00005393	CHIFNET13H1268_012767-T1	DBVPG3775_007287-T1
GF00005394	CHIFNET13H1268_012768-T1	DBVPG3775_007286-T1
GF00005395	CHIFNET13H1268_013504-T1	DBVPG3775_000277-T1
GF00005396	CHIFNET13H1268_012799-T1	DBVPG3775_000279-T1
GF00005397	CHIFNET13H1268_012800-T1	DBVPG3775_000280-T1
GF00005398	CHIFNET13H1268_012801-T1	DBVPG3775_000281-T1
GF00005399	CHIFNET13H1268_013510-T1	DBVPG3775_000284-T1
GF00005400	CHIFNET13H1268_013511-T1	DBVPG3775_000285-T1
GF00005401	CHIFNET13H1268_012805-T1	DBVPG3775_000286-T1
GF00005402	CHIFNET13H1268_012808-T1	DBVPG3775_000289-T1
GF00005403	CHIFNET13H1268_012809-T1	DBVPG3775_000290-T1
GF00005404	CHIFNET13H1268_012810-T1	DBVPG3775_000291-T1
GF00005405	CHIFNET13H1268_012811-T1	DBVPG3775_000292-T1
GF00005406	CHIFNET13H1268_012827-T1	DBVPG3775_003931-T1
GF00005407	CHIFNET13H1268_013171-T1	DBVPG3775_003930-T1
GF00005408	CHIFNET13H1268_012831-T1	DBVPG3775_003927-T1
GF00005409	CHIFNET13H1268_013167-T1	DBVPG3775_003926-T1
GF00005410	CHIFNET13H1268_013166-T1	DBVPG3775_003925-T1
GF00005411	CHIFNET13H1268_012835-T1	DBVPG3775_003923-T1
GF00005412	CHIFNET13H1268_012836-T1	DBVPG3775_003922-T1
GF00005413	CHIFNET13H1268_012837-T1	DBVPG3775_003921-T1
GF00005414	CHIFNET13H1268_012838-T1	DBVPG3775_003920-T1
GF00005415	CHIFNET13H1268_013159-T1	DBVPG3775_003919-T1
GF00005416	CHIFNET13H1268_012840-T1	DBVPG3775_003918-T1
GF00005417	CHIFNET13H1268_012842-T1	DBVPG3775_003916-T1
GF00005418	CHIFNET13H1268_013155-T1	DBVPG3775_003915-T1
GF00005419	CHIFNET13H1268_013154-T1	DBVPG3775_003914-T1
GF00005420	CHIFNET13H1268_012851-T1	DBVPG3775_003913-T1
GF00005421	CHIFNET13H1268_012852-T1	DBVPG3775_003912-T1
GF00005422	CHIFNET13H1268_013151-T1	DBVPG3775_003911-T1
GF00005423	CHIFNET13H1268_012974-T1	DBVPG3775_003527-T1
GF00005424	CHIFNET13H1268_014269-T1	DBVPG3775_003528-T1
GF00005425	CHIFNET13H1268_014268-T1	DBVPG3775_003529-T1
GF00005426	CHIFNET13H1268_012978-T1	DBVPG3775_003531-T1
GF00005427	CHIFNET13H1268_014265-T1	DBVPG3775_003532-T1
GF00005428	CHIFNET13H1268_012980-T1	DBVPG3775_003533-T1
GF00005429	CHIFNET13H1268_012981-T1	DBVPG3775_003534-T1
GF00005430	CHIFNET13H1268_012982-T1	DBVPG3775_003535-T1
GF00005431	CHIFNET13H1268_014261-T1	DBVPG3775_003536-T1
GF00005432	CHIFNET13H1268_012985-T1	DBVPG3775_003538-T1
GF00005433	CHIFNET13H1268_014051-T1	DBVPG3775_005871-T1
GF00005434	CHIFNET13H1268_014050-T1	DBVPG3775_005870-T1
GF00005435	CHIFNET13H1268_014048-T1	DBVPG3775_005868-T1
GF00005436	CHIFNET13H1268_014045-T1	DBVPG3775_005865-T1
GF00005437	CHIFNET13H1268_014044-T1	DBVPG3775_005864-T1
GF00005438	CHIFNET13H1268_012996-T1	DBVPG3775_005863-T1
GF00005439	CHIFNET13H1268_013919-T1	DBVPG3775_000795-T1
GF00005440	CHIFNET13H1268_013000-T1	DBVPG3775_000794-T1
GF00005441	CHIFNET13H1268_013004-T1	DBVPG3775_000791-T1
GF00005442	CHIFNET13H1268_013007-T1	DBVPG3775_000788-T1
GF00005443	CHIFNET13H1268_013008-T1	DBVPG3775_000787-T1
GF00005444	CHIFNET13H1268_013929-T1	DBVPG3775_000785-T1
GF00005445	CHIFNET13H1268_013012-T1	DBVPG3775_000784-T1
GF00005446	CHIFNET13H1268_013013-T1	DBVPG3775_000783-T1
GF00005447	CHIFNET13H1268_013406-T1	DBVPG3775_001228-T1
GF00005448	CHIFNET13H1268_013023-T1	DBVPG3775_001229-T1
GF00005449	CHIFNET13H1268_013025-T1	DBVPG3775_001231-T1
GF00005450	CHIFNET13H1268_013026-T1	DBVPG3775_001232-T1
GF00005451	CHIFNET13H1268_013027-T1	DBVPG3775_001233-T1
GF00005452	CHIFNET13H1268_013415-T1	DBVPG3775_001235-T1
GF00005453	CHIFNET13H1268_013416-T1	DBVPG3775_001236-T1
GF00005454	CHIFNET13H1268_013418-T1	DBVPG3775_001238-T1
GF00005455	CHIFNET13H1268_013032-T1	DBVPG3775_001239-T1
GF00005456	CHIFNET13H1268_013033-T1	DBVPG3775_001240-T1
GF00005457	CHIFNET13H1268_013035-T1	DBVPG3775_001242-T1
GF00005458	CHIFNET13H1268_013036-T1	DBVPG3775_001244-T1
GF00005459	CHIFNET13H1268_013038-T1	DBVPG3775_001246-T1
GF00005460	CHIFNET13H1268_014804-T1	DBVPG3775_001247-T1
GF00005461	CHIFNET13H1268_013042-T1	DBVPG3775_001250-T1
GF00005462	CHIFNET13H1268_013109-T1	DBVPG3775_002727-T1
GF00005463	CHIFNET13H1268_013110-T1	DBVPG3775_002726-T1
GF00005464	CHIFNET13H1268_013111-T1	DBVPG3775_002725-T1
GF00005465	CHIFNET13H1268_013113-T1	DBVPG3775_002722-T1
GF00005466	CHIFNET13H1268_013243-T1	DBVPG3775_002721-T1
GF00005467	CHIFNET13H1268_013241-T1	DBVPG3775_002719-T1
GF00005468	CHIFNET13H1268_013238-T1	DBVPG3775_002717-T1
GF00005469	CHIFNET13H1268_013120-T1	DBVPG3775_002715-T1
GF00005470	CHIFNET13H1268_013122-T1	DBVPG3775_002714-T1
GF00005471	CHIFNET13H1268_013234-T1	DBVPG3775_002713-T1
GF00005472	CHIFNET13H1268_013233-T1	DBVPG3775_002712-T1
GF00005473	CHIFNET13H1268_013232-T1	DBVPG3775_002711-T1
GF00005474	CHIFNET13H1268_013174-T1	DBVPG3775_003387-T1
GF00005475	CHIFNET13H1268_013733-T1	DBVPG3775_003388-T1
GF00005476	CHIFNET13H1268_013176-T1	DBVPG3775_003389-T1
GF00005477	CHIFNET13H1268_013178-T1	DBVPG3775_003391-T1
GF00005478	CHIFNET13H1268_013179-T1	DBVPG3775_003392-T1
GF00005479	CHIFNET13H1268_013180-T1	DBVPG3775_003393-T1
GF00005480	CHIFNET13H1268_013181-T1	DBVPG3775_003394-T1
GF00005481	CHIFNET13H1268_013726-T1	DBVPG3775_003395-T1
GF00005482	CHIFNET13H1268_013724-T1	DBVPG3775_003397-T1
GF00005483	CHIFNET13H1268_013723-T1	DBVPG3775_003398-T1
GF00005484	CHIFNET13H1268_013186-T1	DBVPG3775_003399-T1
GF00005485	CHIFNET13H1268_013187-T1	DBVPG3775_003400-T1
GF00005486	CHIFNET13H1268_013189-T1	DBVPG3775_003402-T1
GF00005487	CHIFNET13H1268_013192-T1	DBVPG3775_003405-T1
GF00005488	CHIFNET13H1268_013193-T1	DBVPG3775_003406-T1
GF00005489	CHIFNET13H1268_014370-T1	DBVPG3775_007538-T1
GF00005490	CHIFNET13H1268_013358-T1	DBVPG3775_007536-T1
GF00005491	CHIFNET13H1268_014367-T1	DBVPG3775_007535-T1
GF00005492	CHIFNET13H1268_013360-T1	DBVPG3775_007534-T1
GF00005493	CHIFNET13H1268_013361-T1	DBVPG3775_007533-T1
GF00005494	CHIFNET13H1268_013364-T1	DBVPG3775_000419-T1
GF00005495	CHIFNET13H1268_014361-T1	DBVPG3775_000422-T1
GF00005496	CHIFNET13H1268_013367-T1	DBVPG3775_000424-T1
GF00005497	CHIFNET13H1268_014743-T1	DBVPG3775_000426-T1
GF00005498	CHIFNET13H1268_014742-T1	DBVPG3775_000427-T1
GF00005499	CHIFNET13H1268_014741-T1	DBVPG3775_000428-T1
GF00005500	CHIFNET13H1268_013520-T1	DBVPG3775_005901-T1
GF00005501	CHIFNET13H1268_014614-T1	DBVPG3775_005900-T1
GF00005502	CHIFNET13H1268_013522-T1	DBVPG3775_005899-T1
GF00005503	CHIFNET13H1268_013523-T1	DBVPG3775_005898-T1
GF00005504	CHIFNET13H1268_013549-T1	DBVPG3775_006768-T1
GF00005505	CHIFNET13H1268_013551-T1	DBVPG3775_006769-T1
GF00005506	CHIFNET13H1268_013552-T1	DBVPG3775_006770-T1
