	Rhodotorula_mucilaginosa_TFCN_17-333P-6.cds.fa
GF00004275	TFCN17333P6_013704-T1, TFCN17333P6_008451-T1
GF00004276	TFCN17333P6_011841-T1, TFCN17333P6_008423-T1
GF00004277	TFCN17333P6_014594-T1, TFCN17333P6_012998-T1
GF00004278	TFCN17333P6_012837-T1, TFCN17333P6_009912-T1
GF00004279	TFCN17333P6_000969-T1, TFCN17333P6_007154-T1
GF00004280	TFCN17333P6_012015-T1, TFCN17333P6_001608-T1
GF00004281	TFCN17333P6_007856-T1, TFCN17333P6_002510-T1
GF00004282	TFCN17333P6_013118-T1, TFCN17333P6_008996-T1
GF00004283	TFCN17333P6_009627-T1, TFCN17333P6_003737-T1
GF00004284	TFCN17333P6_000247-T1, TFCN17333P6_010464-T1
GF00004285	TFCN17333P6_006613-T1, TFCN17333P6_008564-T1
GF00004286	TFCN17333P6_006347-T1, TFCN17333P6_002145-T1
GF00004287	TFCN17333P6_011339-T1, TFCN17333P6_012605-T1
GF00004288	TFCN17333P6_008443-T1, TFCN17333P6_011859-T1
GF00004289	TFCN17333P6_009111-T1, TFCN17333P6_007413-T1
GF00004290	TFCN17333P6_004454-T1, TFCN17333P6_008826-T1
GF00004291	TFCN17333P6_009274-T1, TFCN17333P6_012592-T1
GF00004292	TFCN17333P6_010390-T1, TFCN17333P6_004718-T1
GF00004293	TFCN17333P6_013713-T1, TFCN17333P6_004146-T1
GF00004294	TFCN17333P6_002785-T1, TFCN17333P6_001225-T1
GF00004295	TFCN17333P6_001564-T1, TFCN17333P6_013456-T1
GF00004296	TFCN17333P6_008526-T1, TFCN17333P6_008954-T1
GF00004297	TFCN17333P6_000531-T1, TFCN17333P6_004788-T1
GF00004298	TFCN17333P6_006697-T1, TFCN17333P6_001135-T1
GF00004299	TFCN17333P6_000804-T1, TFCN17333P6_005655-T1
GF00004300	TFCN17333P6_002753-T1, TFCN17333P6_001253-T1
GF00004301	TFCN17333P6_005542-T1, TFCN17333P6_006960-T1
GF00004302	TFCN17333P6_013482-T1, TFCN17333P6_014660-T1
GF00004303	TFCN17333P6_002643-T1, TFCN17333P6_003586-T1
GF00004304	TFCN17333P6_007161-T1, TFCN17333P6_000979-T1
GF00004305	TFCN17333P6_011941-T1, TFCN17333P6_007132-T1
GF00004306	TFCN17333P6_001934-T1, TFCN17333P6_008376-T1
GF00004307	TFCN17333P6_009672-T1, TFCN17333P6_009747-T1
GF00004308	TFCN17333P6_001263-T1, TFCN17333P6_002744-T1
GF00004309	TFCN17333P6_012583-T1, TFCN17333P6_009283-T1
GF00004310	TFCN17333P6_008924-T1, TFCN17333P6_004354-T1
GF00004311	TFCN17333P6_011923-T1, TFCN17333P6_007115-T1
GF00004312	TFCN17333P6_008208-T1, TFCN17333P6_001675-T1
GF00004313	TFCN17333P6_001158-T1, TFCN17333P6_006672-T1
GF00004314	TFCN17333P6_004476-T1, TFCN17333P6_012687-T1
GF00004315	TFCN17333P6_007470-T1, TFCN17333P6_013246-T1
GF00004316	TFCN17333P6_010655-T1, TFCN17333P6_004318-T1
GF00004317	TFCN17333P6_006287-T1, TFCN17333P6_006215-T1
GF00004318	TFCN17333P6_008708-T1, TFCN17333P6_003036-T1
GF00004319	TFCN17333P6_011621-T1, TFCN17333P6_005193-T1
GF00004320	TFCN17333P6_006334-T1, TFCN17333P6_002131-T1
GF00004321	TFCN17333P6_008850-T1, TFCN17333P6_010828-T1
GF00004322	TFCN17333P6_001698-T1, TFCN17333P6_003891-T1
GF00004323	TFCN17333P6_007964-T1, TFCN17333P6_000481-T1
GF00004324	TFCN17333P6_012631-T1, TFCN17333P6_001546-T1
GF00004325	TFCN17333P6_012257-T1, TFCN17333P6_003355-T1
GF00004326	TFCN17333P6_008945-T1, TFCN17333P6_012427-T1
GF00004327	TFCN17333P6_010384-T1, TFCN17333P6_004724-T1
GF00004328	TFCN17333P6_001172-T1, TFCN17333P6_006656-T1
GF00004329	TFCN17333P6_001211-T1, TFCN17333P6_006622-T1
GF00004330	TFCN17333P6_013385-T1, TFCN17333P6_010102-T1
GF00004331	TFCN17333P6_002663-T1, TFCN17333P6_003566-T1
GF00004332	TFCN17333P6_008358-T1, TFCN17333P6_001905-T1
GF00004333	TFCN17333P6_001265-T1, TFCN17333P6_002742-T1
GF00004334	TFCN17333P6_001264-T1, TFCN17333P6_002743-T1
GF00004335	TFCN17333P6_009603-T1, TFCN17333P6_003718-T1
GF00004336	TFCN17333P6_007005-T1, TFCN17333P6_004562-T1
GF00004337	TFCN17333P6_010583-T1, TFCN17333P6_013167-T1
GF00004338	TFCN17333P6_013581-T1, TFCN17333P6_006304-T1
GF00004339	TFCN17333P6_001444-T1, TFCN17333P6_006757-T1
GF00004340	TFCN17333P6_001487-T1, TFCN17333P6_005785-T1
GF00004341	TFCN17333P6_008814-T1, TFCN17333P6_002357-T1
GF00004342	TFCN17333P6_013798-T1, TFCN17333P6_003386-T1
GF00004343	TFCN17333P6_002138-T1, TFCN17333P6_006341-T1
GF00004344	TFCN17333P6_008428-T1, TFCN17333P6_011846-T1
GF00004345	TFCN17333P6_003924-T1, TFCN17333P6_001731-T1
GF00004346	TFCN17333P6_006225-T1, TFCN17333P6_006148-T1
GF00004347	TFCN17333P6_009670-T1, TFCN17333P6_009745-T1
GF00004348	TFCN17333P6_000649-T1, TFCN17333P6_011525-T1
GF00004349	TFCN17333P6_008753-T1, TFCN17333P6_002991-T1
GF00004350	TFCN17333P6_014599-T1, TFCN17333P6_013002-T1
GF00004351	TFCN17333P6_005835-T1, TFCN17333P6_010030-T1
GF00004352	TFCN17333P6_014166-T1, TFCN17333P6_014432-T1
GF00004353	TFCN17333P6_011774-T1, TFCN17333P6_002524-T1
GF00004354	TFCN17333P6_006240-T1, TFCN17333P6_006157-T1
GF00004355	TFCN17333P6_000094-T1, TFCN17333P6_009851-T1
GF00004356	TFCN17333P6_012565-T1, TFCN17333P6_009302-T1
GF00004357	TFCN17333P6_005916-T1, TFCN17333P6_012802-T1
GF00004358	TFCN17333P6_012986-T1, TFCN17333P6_003552-T1
GF00004359	TFCN17333P6_007509-T1, TFCN17333P6_007909-T1
GF00004360	TFCN17333P6_001153-T1, TFCN17333P6_006676-T1
GF00004361	TFCN17333P6_004433-T1, TFCN17333P6_006908-T1
GF00004362	TFCN17333P6_010605-T1, TFCN17333P6_009506-T1
GF00004363	TFCN17333P6_005979-T1, TFCN17333P6_000416-T1
GF00004364	TFCN17333P6_012513-T1, TFCN17333P6_011262-T1
GF00004365	TFCN17333P6_001568-T1, TFCN17333P6_013452-T1
GF00004366	TFCN17333P6_004299-T1, TFCN17333P6_010671-T1
GF00004367	TFCN17333P6_014042-T1, TFCN17333P6_014089-T1
GF00004368	TFCN17333P6_001847-T1, TFCN17333P6_010810-T1
GF00004369	TFCN17333P6_002184-T1, TFCN17333P6_006387-T1
GF00004370	TFCN17333P6_003538-T1, TFCN17333P6_008113-T1
GF00004371	TFCN17333P6_003226-T1, TFCN17333P6_002457-T1
GF00004372	TFCN17333P6_014727-T1, TFCN17333P6_013484-T1
GF00004373	TFCN17333P6_000046-T1, TFCN17333P6_013769-T1
GF00004374	TFCN17333P6_010312-T1, TFCN17333P6_000621-T1
GF00004375	TFCN17333P6_007212-T1, TFCN17333P6_001030-T1
GF00004376	TFCN17333P6_010753-T1, TFCN17333P6_006029-T1
GF00004377	TFCN17333P6_013412-T1, TFCN17333P6_013882-T1
GF00004378	TFCN17333P6_005040-T1, TFCN17333P6_000944-T1
GF00004379	TFCN17333P6_008422-T1, TFCN17333P6_011840-T1
GF00004380	TFCN17333P6_003589-T1, TFCN17333P6_002640-T1
GF00004381	TFCN17333P6_005745-T1, TFCN17333P6_010565-T1
GF00004382	TFCN17333P6_008754-T1, TFCN17333P6_002990-T1
GF00004383	TFCN17333P6_003962-T1, TFCN17333P6_001764-T1
GF00004384	TFCN17333P6_003612-T1, TFCN17333P6_002609-T1
GF00004385	TFCN17333P6_012943-T1, TFCN17333P6_001041-T1
GF00004386	TFCN17333P6_009496-T1, TFCN17333P6_013599-T1
GF00004387	TFCN17333P6_003342-T1, TFCN17333P6_014510-T1
GF00004388	TFCN17333P6_010630-T1, TFCN17333P6_009529-T1
GF00004389	TFCN17333P6_009754-T1, TFCN17333P6_000914-T1
GF00004390	TFCN17333P6_006519-T1, TFCN17333P6_004805-T1
GF00004391	TFCN17333P6_009582-T1, TFCN17333P6_000152-T1
GF00004392	TFCN17333P6_014725-T1, TFCN17333P6_007797-T1
GF00004393	TFCN17333P6_006562-T1, TFCN17333P6_012077-T1
GF00004394	TFCN17333P6_012974-T1, TFCN17333P6_003563-T1
GF00004395	TFCN17333P6_010414-T1, TFCN17333P6_004693-T1
GF00004396	TFCN17333P6_005990-T1, TFCN17333P6_000427-T1
GF00004397	TFCN17333P6_003881-T1, TFCN17333P6_009403-T1
GF00004398	TFCN17333P6_002955-T1, TFCN17333P6_011902-T1
GF00004399	TFCN17333P6_009884-T1, TFCN17333P6_013932-T1
GF00004400	TFCN17333P6_007771-T1, TFCN17333P6_011161-T1
GF00004401	TFCN17333P6_008560-T1, TFCN17333P6_006609-T1
GF00004402	TFCN17333P6_013849-T1, TFCN17333P6_007062-T1
GF00004403	TFCN17333P6_003449-T1, TFCN17333P6_013900-T1
GF00004404	TFCN17333P6_006086-T1, TFCN17333P6_013670-T1
GF00004405	TFCN17333P6_005238-T1, TFCN17333P6_003083-T1
GF00004406	TFCN17333P6_002167-T1, TFCN17333P6_006368-T1
GF00004407	TFCN17333P6_006554-T1, TFCN17333P6_012070-T1
GF00004408	TFCN17333P6_011918-T1, TFCN17333P6_007110-T1
GF00004409	TFCN17333P6_008878-T1, TFCN17333P6_010850-T1
GF00004410	TFCN17333P6_010914-T1, TFCN17333P6_000165-T1
GF00004411	TFCN17333P6_004725-T1, TFCN17333P6_010383-T1
GF00004412	TFCN17333P6_000249-T1, TFCN17333P6_010461-T1
GF00004413	TFCN17333P6_007074-T1, TFCN17333P6_012359-T1
GF00004414	TFCN17333P6_010171-T1, TFCN17333P6_008104-T1
GF00004415	TFCN17333P6_000920-T1, TFCN17333P6_005015-T1
GF00004416	TFCN17333P6_004774-T1, TFCN17333P6_000517-T1
GF00004417	TFCN17333P6_010070-T1, TFCN17333P6_012042-T1
GF00004418	TFCN17333P6_003837-T1, TFCN17333P6_014029-T1
GF00004419	TFCN17333P6_009363-T1, TFCN17333P6_003811-T1
GF00004420	TFCN17333P6_001422-T1, TFCN17333P6_006776-T1
GF00004421	TFCN17333P6_007369-T1, TFCN17333P6_010511-T1
GF00004422	TFCN17333P6_001714-T1, TFCN17333P6_003906-T1
GF00004423	TFCN17333P6_000082-T1, TFCN17333P6_009840-T1
GF00004424	TFCN17333P6_007383-T1, TFCN17333P6_009140-T1
GF00004425	TFCN17333P6_011481-T1, TFCN17333P6_002296-T1
GF00004426	TFCN17333P6_011873-T1, TFCN17333P6_014269-T1
GF00004427	TFCN17333P6_007145-T1, TFCN17333P6_000960-T1
GF00004428	TFCN17333P6_004812-T1, TFCN17333P6_006526-T1
GF00004429	TFCN17333P6_012622-T1, TFCN17333P6_001555-T1
GF00004430	TFCN17333P6_009369-T1, TFCN17333P6_003805-T1
GF00004431	TFCN17333P6_009488-T1, TFCN17333P6_013608-T1
GF00004432	TFCN17333P6_014046-T1, TFCN17333P6_014085-T1
GF00004433	TFCN17333P6_008941-T1, TFCN17333P6_012423-T1
GF00004434	TFCN17333P6_013765-T1, TFCN17333P6_005091-T1
GF00004435	TFCN17333P6_004158-T1, TFCN17333P6_006884-T1
GF00004436	TFCN17333P6_007129-T1, TFCN17333P6_011938-T1
GF00004437	TFCN17333P6_002271-T1, TFCN17333P6_011458-T1
GF00004438	TFCN17333P6_012893-T1, TFCN17333P6_003319-T1
GF00004439	TFCN17333P6_002143-T1, TFCN17333P6_006345-T1
GF00004440	TFCN17333P6_010465-T1, TFCN17333P6_013416-T1
GF00004441	TFCN17333P6_013666-T1, TFCN17333P6_000017-T1
GF00004442	TFCN17333P6_000968-T1, TFCN17333P6_007153-T1
GF00004443	TFCN17333P6_006182-T1, TFCN17333P6_006256-T1
GF00004444	TFCN17333P6_012014-T1, TFCN17333P6_001607-T1
GF00004445	TFCN17333P6_000371-T1, TFCN17333P6_005937-T1
GF00004446	TFCN17333P6_014188-T1, TFCN17333P6_014362-T1
GF00004447	TFCN17333P6_000473-T1, TFCN17333P6_007972-T1
GF00004448	TFCN17333P6_003868-T1, TFCN17333P6_009415-T1
GF00004449	TFCN17333P6_008154-T1, TFCN17333P6_003493-T1
GF00004450	TFCN17333P6_013335-T1, TFCN17333P6_002106-T1
GF00004451	TFCN17333P6_001176-T1, TFCN17333P6_006652-T1
GF00004452	TFCN17333P6_000981-T1, TFCN17333P6_007163-T1
GF00004453	TFCN17333P6_005804-T1, TFCN17333P6_001505-T1
GF00004454	TFCN17333P6_006196-T1, TFCN17333P6_006269-T1
GF00004455	TFCN17333P6_013413-T1, TFCN17333P6_013881-T1
GF00004456	TFCN17333P6_006359-T1, TFCN17333P6_002158-T1
GF00004457	TFCN17333P6_010864-T1, TFCN17333P6_008892-T1
GF00004458	TFCN17333P6_014071-T1, TFCN17333P6_004667-T1
GF00004459	TFCN17333P6_002495-T1, TFCN17333P6_003265-T1
GF00004460	TFCN17333P6_001469-T1, TFCN17333P6_006734-T1
GF00004461	TFCN17333P6_003782-T1, TFCN17333P6_010928-T1
GF00004462	TFCN17333P6_002351-T1, TFCN17333P6_008820-T1
GF00004463	TFCN17333P6_000993-T1, TFCN17333P6_007176-T1
GF00004464	TFCN17333P6_002183-T1, TFCN17333P6_006386-T1
GF00004465	TFCN17333P6_009157-T1, TFCN17333P6_008613-T1
GF00004466	TFCN17333P6_001656-T1, TFCN17333P6_008236-T1
GF00004467	TFCN17333P6_005877-T1, TFCN17333P6_009994-T1
GF00004468	TFCN17333P6_005808-T1, TFCN17333P6_001510-T1
GF00004469	TFCN17333P6_014717-T1, TFCN17333P6_013208-T1
GF00004470	TFCN17333P6_002658-T1, TFCN17333P6_003571-T1
GF00004471	TFCN17333P6_003765-T1, TFCN17333P6_010945-T1
GF00004472	TFCN17333P6_011644-T1, TFCN17333P6_012714-T1
GF00004473	TFCN17333P6_002451-T1, TFCN17333P6_003219-T1
GF00004474	TFCN17333P6_013028-T1, TFCN17333P6_013959-T1
GF00004475	TFCN17333P6_011842-T1, TFCN17333P6_008424-T1
GF00004476	TFCN17333P6_007385-T1, TFCN17333P6_009138-T1
GF00004477	TFCN17333P6_008640-T1, TFCN17333P6_000690-T1
GF00004478	TFCN17333P6_002242-T1, TFCN17333P6_001632-T1
GF00004479	TFCN17333P6_007745-T1, TFCN17333P6_007834-T1
GF00004480	TFCN17333P6_007508-T1, TFCN17333P6_007908-T1
GF00004481	TFCN17333P6_012045-T1, TFCN17333P6_010067-T1
GF00004482	TFCN17333P6_011879-T1, TFCN17333P6_002934-T1
GF00004483	TFCN17333P6_009927-T1, TFCN17333P6_007346-T1
GF00004484	TFCN17333P6_007034-T1, TFCN17333P6_010262-T1
GF00004485	TFCN17333P6_010514-T1, TFCN17333P6_007366-T1
GF00004486	TFCN17333P6_001035-T1, TFCN17333P6_007217-T1
GF00004487	TFCN17333P6_007789-T1, TFCN17333P6_011143-T1
GF00004488	TFCN17333P6_004698-T1, TFCN17333P6_010409-T1
GF00004489	TFCN17333P6_010688-T1, TFCN17333P6_011357-T1
GF00004490	TFCN17333P6_013103-T1, TFCN17333P6_009709-T1
GF00004491	TFCN17333P6_004128-T1, TFCN17333P6_005422-T1
GF00004492	TFCN17333P6_000437-T1, TFCN17333P6_006001-T1
GF00004493	TFCN17333P6_008881-T1, TFCN17333P6_010853-T1
GF00004494	TFCN17333P6_007746-T1, TFCN17333P6_007835-T1
GF00004495	TFCN17333P6_006914-T1, TFCN17333P6_004427-T1
GF00004496	TFCN17333P6_014351-T1, TFCN17333P6_012671-T1
GF00004497	TFCN17333P6_002328-T1, TFCN17333P6_008781-T1
GF00004498	TFCN17333P6_013901-T1, TFCN17333P6_003448-T1
GF00004499	TFCN17333P6_009589-T1, TFCN17333P6_000159-T1
GF00004500	TFCN17333P6_010114-T1, TFCN17333P6_013397-T1
GF00004501	TFCN17333P6_001789-T1, TFCN17333P6_003989-T1
GF00004502	TFCN17333P6_012065-T1, TFCN17333P6_006548-T1
GF00004503	TFCN17333P6_009163-T1, TFCN17333P6_008607-T1
GF00004504	TFCN17333P6_005148-T1, TFCN17333P6_011577-T1
GF00004505	TFCN17333P6_001535-T1, TFCN17333P6_012642-T1
GF00004506	TFCN17333P6_011806-T1, TFCN17333P6_012955-T1
GF00004507	TFCN17333P6_001526-T1, TFCN17333P6_012651-T1
GF00004508	TFCN17333P6_013634-T1, TFCN17333P6_000298-T1
GF00004509	TFCN17333P6_002369-T1, TFCN17333P6_008804-T1
GF00004510	TFCN17333P6_013546-T1, TFCN17333P6_014119-T1
GF00004511	TFCN17333P6_000093-T1, TFCN17333P6_009850-T1
GF00004512	TFCN17333P6_012999-T1, TFCN17333P6_014595-T1
GF00004513	TFCN17333P6_009491-T1, TFCN17333P6_013604-T1
GF00004514	TFCN17333P6_000280-T1, TFCN17333P6_010426-T1
GF00004515	TFCN17333P6_001849-T1, TFCN17333P6_010812-T1
GF00004516	TFCN17333P6_009650-T1, TFCN17333P6_009731-T1
GF00004517	TFCN17333P6_005430-T1, TFCN17333P6_001992-T1
GF00004518	TFCN17333P6_000586-T1, TFCN17333P6_010352-T1
GF00004519	TFCN17333P6_011215-T1, TFCN17333P6_006106-T1
GF00004520	TFCN17333P6_011102-T1, TFCN17333P6_011047-T1
GF00004521	TFCN17333P6_010166-T1, TFCN17333P6_008109-T1
GF00004522	TFCN17333P6_000971-T1, TFCN17333P6_007155-T1
GF00004523	TFCN17333P6_002642-T1, TFCN17333P6_003587-T1
GF00004524	TFCN17333P6_007216-T1, TFCN17333P6_001034-T1
GF00004525	TFCN17333P6_001372-T1, TFCN17333P6_013065-T1
GF00004526	TFCN17333P6_004479-T1, TFCN17333P6_012690-T1
GF00004527	TFCN17333P6_014497-T1, TFCN17333P6_013466-T1
GF00004528	TFCN17333P6_005355-T1, TFCN17333P6_004057-T1
GF00004529	TFCN17333P6_002702-T1, TFCN17333P6_001304-T1
GF00004530	TFCN17333P6_005444-T1, TFCN17333P6_002005-T1
GF00004531	TFCN17333P6_001147-T1, TFCN17333P6_006683-T1
GF00004532	TFCN17333P6_011172-T1, TFCN17333P6_007760-T1
GF00004533	TFCN17333P6_007907-T1, TFCN17333P6_007507-T1
GF00004534	TFCN17333P6_013548-T1, TFCN17333P6_014117-T1
GF00004535	TFCN17333P6_008964-T1, TFCN17333P6_008536-T1
GF00004536	TFCN17333P6_008951-T1, TFCN17333P6_008523-T1
GF00004537	TFCN17333P6_003098-T1, TFCN17333P6_005244-T1
GF00004538	TFCN17333P6_014461-T1, TFCN17333P6_008971-T1
GF00004539	TFCN17333P6_004059-T1, TFCN17333P6_005357-T1
GF00004540	TFCN17333P6_007262-T1, TFCN17333P6_007643-T1
GF00004541	TFCN17333P6_000072-T1, TFCN17333P6_009830-T1
GF00004542	TFCN17333P6_010637-T1, TFCN17333P6_002665-T1
GF00004543	TFCN17333P6_000725-T1, TFCN17333P6_008675-T1
GF00004544	TFCN17333P6_005133-T1, TFCN17333P6_011562-T1
GF00004545	TFCN17333P6_011224-T1, TFCN17333P6_006097-T1
GF00004546	TFCN17333P6_009586-T1, TFCN17333P6_000156-T1
GF00004547	TFCN17333P6_002413-T1, TFCN17333P6_003182-T1
GF00004548	TFCN17333P6_010305-T1, TFCN17333P6_000628-T1
GF00004549	TFCN17333P6_012716-T1, TFCN17333P6_011642-T1
GF00004550	TFCN17333P6_003166-T1, TFCN17333P6_002397-T1
GF00004551	TFCN17333P6_001740-T1, TFCN17333P6_003937-T1
GF00004552	TFCN17333P6_007548-T1, TFCN17333P6_004607-T1
GF00004553	TFCN17333P6_011064-T1, TFCN17333P6_010528-T1
GF00004554	TFCN17333P6_007202-T1, TFCN17333P6_001019-T1
GF00004555	TFCN17333P6_000398-T1, TFCN17333P6_005961-T1
GF00004556	TFCN17333P6_009067-T1, TFCN17333P6_003140-T1
GF00004557	TFCN17333P6_011175-T1, TFCN17333P6_007756-T1
GF00004558	TFCN17333P6_013718-T1, TFCN17333P6_004142-T1
GF00004559	TFCN17333P6_005838-T1, TFCN17333P6_010027-T1
GF00004560	TFCN17333P6_010274-T1, TFCN17333P6_007045-T1
GF00004561	TFCN17333P6_013376-T1, TFCN17333P6_013999-T1
GF00004562	TFCN17333P6_002752-T1, TFCN17333P6_001254-T1
GF00004563	TFCN17333P6_000596-T1, TFCN17333P6_010341-T1
GF00004564	TFCN17333P6_014580-T1, TFCN17333P6_014570-T1
GF00004565	TFCN17333P6_009365-T1, TFCN17333P6_003809-T1
GF00004566	TFCN17333P6_000625-T1, TFCN17333P6_010308-T1
GF00004567	TFCN17333P6_009879-T1, TFCN17333P6_013937-T1
GF00004568	TFCN17333P6_009750-T1, TFCN17333P6_009675-T1
GF00004569	TFCN17333P6_010080-T1, TFCN17333P6_012032-T1
GF00004570	TFCN17333P6_014187-T1, TFCN17333P6_014363-T1
GF00004571	TFCN17333P6_003404-T1, TFCN17333P6_009315-T1
GF00004572	TFCN17333P6_010527-T1, TFCN17333P6_011063-T1
GF00004573	TFCN17333P6_014642-T1, TFCN17333P6_011278-T1
GF00004574	TFCN17333P6_011636-T1, TFCN17333P6_012722-T1
GF00004575	TFCN17333P6_011379-T1, TFCN17333P6_007446-T1
GF00004576	TFCN17333P6_008572-T1, TFCN17333P6_009203-T1
GF00004577	TFCN17333P6_013310-T1, TFCN17333P6_002081-T1
GF00004578	TFCN17333P6_004011-T1, TFCN17333P6_001810-T1
GF00004579	TFCN17333P6_011330-T1, TFCN17333P6_012614-T1
GF00004580	TFCN17333P6_011317-T1, TFCN17333P6_008068-T1
GF00004581	TFCN17333P6_000686-T1, TFCN17333P6_008635-T1
GF00004582	TFCN17333P6_011222-T1, TFCN17333P6_006099-T1
GF00004583	TFCN17333P6_005788-T1, TFCN17333P6_001490-T1
GF00004584	TFCN17333P6_012995-T1, TFCN17333P6_007901-T1
GF00004585	TFCN17333P6_011702-T1, TFCN17333P6_004799-T1
GF00004586	TFCN17333P6_010691-T1, TFCN17333P6_012923-T1
GF00004587	TFCN17333P6_011805-T1, TFCN17333P6_012956-T1
GF00004588	TFCN17333P6_001382-T1, TFCN17333P6_013302-T1
GF00004589	TFCN17333P6_005546-T1, TFCN17333P6_006964-T1
GF00004590	TFCN17333P6_012269-T1, TFCN17333P6_003345-T1
GF00004591	TFCN17333P6_003324-T1, TFCN17333P6_012898-T1
GF00004592	TFCN17333P6_004224-T1, TFCN17333P6_006811-T1
GF00004593	TFCN17333P6_000325-T1, TFCN17333P6_013741-T1
GF00004594	TFCN17333P6_012004-T1, TFCN17333P6_001597-T1
GF00004595	TFCN17333P6_004402-T1, TFCN17333P6_006940-T1
GF00004596	TFCN17333P6_009456-T1, TFCN17333P6_008013-T1
GF00004597	TFCN17333P6_002148-T1, TFCN17333P6_006350-T1
GF00004598	TFCN17333P6_004935-T1, TFCN17333P6_001122-T1
GF00004599	TFCN17333P6_011583-T1, TFCN17333P6_005154-T1
GF00004600	TFCN17333P6_006323-T1, TFCN17333P6_002118-T1
GF00004601	TFCN17333P6_004741-T1, TFCN17333P6_010367-T1
GF00004602	TFCN17333P6_005565-T1, TFCN17333P6_010130-T1
GF00004603	TFCN17333P6_003934-T1, TFCN17333P6_001738-T1
GF00004604	TFCN17333P6_003028-T1, TFCN17333P6_008716-T1
GF00004605	TFCN17333P6_002244-T1, TFCN17333P6_001634-T1
GF00004606	TFCN17333P6_013517-T1, TFCN17333P6_005781-T1
GF00004607	TFCN17333P6_011919-T1, TFCN17333P6_007111-T1
GF00004608	TFCN17333P6_012650-T1, TFCN17333P6_001527-T1
GF00004609	TFCN17333P6_001676-T1, TFCN17333P6_008207-T1
GF00004610	TFCN17333P6_011041-T1, TFCN17333P6_011108-T1
GF00004611	TFCN17333P6_011268-T1, TFCN17333P6_012519-T1
GF00004612	TFCN17333P6_008500-T1, TFCN17333P6_004257-T1
GF00004613	TFCN17333P6_010181-T1, TFCN17333P6_008093-T1
GF00004614	TFCN17333P6_008162-T1, TFCN17333P6_003485-T1
GF00004615	TFCN17333P6_003234-T1, TFCN17333P6_002465-T1
GF00004616	TFCN17333P6_013305-T1, TFCN17333P6_001379-T1
GF00004617	TFCN17333P6_004363-T1, TFCN17333P6_008933-T1
GF00004618	TFCN17333P6_004541-T1, TFCN17333P6_006976-T1
GF00004619	TFCN17333P6_014157-T1, TFCN17333P6_013858-T1
GF00004620	TFCN17333P6_005718-T1, TFCN17333P6_000741-T1
GF00004621	TFCN17333P6_009314-T1, TFCN17333P6_003405-T1
GF00004622	TFCN17333P6_008134-T1, TFCN17333P6_003515-T1
GF00004623	TFCN17333P6_001448-T1, TFCN17333P6_006753-T1
GF00004624	TFCN17333P6_007885-T1, TFCN17333P6_007681-T1
GF00004625	TFCN17333P6_003550-T1, TFCN17333P6_012988-T1
GF00004626	TFCN17333P6_001278-T1, TFCN17333P6_002729-T1
GF00004627	TFCN17333P6_009778-T1, TFCN17333P6_000889-T1
GF00004628	TFCN17333P6_010550-T1, TFCN17333P6_011087-T1
GF00004629	TFCN17333P6_011258-T1, TFCN17333P6_012511-T1
GF00004630	TFCN17333P6_014255-T1, TFCN17333P6_014211-T1
GF00004631	TFCN17333P6_001269-T1, TFCN17333P6_002738-T1
GF00004632	TFCN17333P6_014424-T1, TFCN17333P6_008278-T1
GF00004633	TFCN17333P6_001582-T1, TFCN17333P6_011987-T1
GF00004634	TFCN17333P6_005971-T1, TFCN17333P6_000408-T1
GF00004635	TFCN17333P6_009921-T1, TFCN17333P6_007351-T1
GF00004636	TFCN17333P6_007753-T1, TFCN17333P6_011179-T1
GF00004637	TFCN17333P6_005056-T1, TFCN17333P6_013826-T1
GF00004638	TFCN17333P6_008692-T1, TFCN17333P6_003050-T1
GF00004639	TFCN17333P6_011264-T1, TFCN17333P6_012515-T1
GF00004640	TFCN17333P6_004555-T1, TFCN17333P6_006992-T1
GF00004641	TFCN17333P6_013801-T1, TFCN17333P6_003389-T1
GF00004642	TFCN17333P6_008495-T1, TFCN17333P6_004262-T1
GF00004643	TFCN17333P6_001123-T1, TFCN17333P6_004934-T1
GF00004644	TFCN17333P6_013158-T1, TFCN17333P6_010592-T1
GF00004645	TFCN17333P6_001069-T1, TFCN17333P6_004992-T1
GF00004646	TFCN17333P6_011291-T1, TFCN17333P6_008055-T1
GF00004647	TFCN17333P6_007826-T1, TFCN17333P6_007737-T1
GF00004648	TFCN17333P6_001588-T1, TFCN17333P6_011993-T1
GF00004649	TFCN17333P6_001618-T1, TFCN17333P6_014587-T1
GF00004650	TFCN17333P6_001986-T1, TFCN17333P6_005424-T1
GF00004651	TFCN17333P6_012859-T1, TFCN17333P6_006445-T1
GF00004652	TFCN17333P6_007628-T1, TFCN17333P6_007241-T1
GF00004653	TFCN17333P6_005386-T1, TFCN17333P6_004092-T1
GF00004654	TFCN17333P6_004694-T1, TFCN17333P6_010413-T1
GF00004655	TFCN17333P6_010870-T1, TFCN17333P6_000215-T1
GF00004656	TFCN17333P6_004097-T1, TFCN17333P6_005392-T1
GF00004657	TFCN17333P6_013012-T1, TFCN17333P6_013920-T1
GF00004658	TFCN17333P6_013328-T1, TFCN17333P6_002099-T1
GF00004659	TFCN17333P6_012585-T1, TFCN17333P6_009281-T1
GF00004660	TFCN17333P6_009681-T1, TFCN17333P6_013040-T1
GF00004661	TFCN17333P6_008514-T1, TFCN17333P6_004241-T1
