	Rhodotorula_mucilaginosa_TFCN_152A-1.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00004463	TFCN152A1_010325-T1	DBVPG3775_000723-T1
GF00004464	TFCN152A1_008798-T1	DBVPG3775_000722-T1
GF00004465	TFCN152A1_010328-T1	DBVPG3775_000720-T1
GF00004466	TFCN152A1_010330-T1	DBVPG3775_000717-T1
GF00004467	TFCN152A1_008807-T1	DBVPG3775_000712-T1
GF00004468	TFCN152A1_010335-T1	DBVPG3775_000711-T1
GF00004469	TFCN152A1_008809-T1	DBVPG3775_000710-T1
GF00004470	TFCN152A1_008811-T1	DBVPG3775_000708-T1
GF00004471	TFCN152A1_008812-T1	DBVPG3775_000707-T1
GF00004472	TFCN152A1_013025-T1	DBVPG3775_000705-T1
GF00004473	TFCN152A1_010095-T1	DBVPG3775_002027-T1
GF00004474	TFCN152A1_008939-T1	DBVPG3775_002029-T1
GF00004475	TFCN152A1_008940-T1	DBVPG3775_002030-T1
GF00004476	TFCN152A1_010089-T1	DBVPG3775_002033-T1
GF00004477	TFCN152A1_010088-T1	DBVPG3775_002034-T1
GF00004478	TFCN152A1_008950-T1	DBVPG3775_002041-T1
GF00004479	TFCN152A1_009931-T1	DBVPG3775_003256-T1
GF00004480	TFCN152A1_009926-T1	DBVPG3775_003262-T1
GF00004481	TFCN152A1_008959-T1	DBVPG3775_003264-T1
GF00004482	TFCN152A1_008960-T1	DBVPG3775_003265-T1
GF00004483	TFCN152A1_008961-T1	DBVPG3775_003266-T1
GF00004484	TFCN152A1_009917-T1	DBVPG3775_003270-T1
GF00004485	TFCN152A1_008967-T1	DBVPG3775_003271-T1
GF00004486	TFCN152A1_012845-T1	DBVPG3775_003272-T1
GF00004487	TFCN152A1_012849-T1	DBVPG3775_003279-T1
GF00004488	TFCN152A1_008974-T1	DBVPG3775_003281-T1
GF00004489	TFCN152A1_008982-T1	DBVPG3775_003405-T1
GF00004490	TFCN152A1_012791-T1	DBVPG3775_003406-T1
GF00004491	TFCN152A1_008985-T1	DBVPG3775_003408-T1
GF00004492	TFCN152A1_012795-T1	DBVPG3775_003410-T1
GF00004493	TFCN152A1_012797-T1	DBVPG3775_003412-T1
GF00004494	TFCN152A1_008990-T1	DBVPG3775_003413-T1
GF00004495	TFCN152A1_011975-T1	DBVPG3775_003414-T1
GF00004496	TFCN152A1_008992-T1	DBVPG3775_003415-T1
GF00004497	TFCN152A1_011977-T1	DBVPG3775_003419-T1
GF00004498	TFCN152A1_008997-T1	DBVPG3775_003423-T1
GF00004499	TFCN152A1_008998-T1	DBVPG3775_003424-T1
GF00004500	TFCN152A1_011983-T1	DBVPG3775_003425-T1
GF00004501	TFCN152A1_009000-T1	DBVPG3775_003426-T1
GF00004502	TFCN152A1_009001-T1	DBVPG3775_003427-T1
GF00004503	TFCN152A1_009002-T1	DBVPG3775_003428-T1
GF00004504	TFCN152A1_009004-T1	DBVPG3775_003431-T1
GF00004505	TFCN152A1_009005-T1	DBVPG3775_003432-T1
GF00004506	TFCN152A1_009006-T1	DBVPG3775_003433-T1
GF00004507	TFCN152A1_009007-T1	DBVPG3775_003434-T1
GF00004508	TFCN152A1_010719-T1	DBVPG3775_003437-T1
GF00004509	TFCN152A1_010720-T1	DBVPG3775_003438-T1
GF00004510	TFCN152A1_009013-T1	DBVPG3775_003440-T1
GF00004511	TFCN152A1_009015-T1	DBVPG3775_003442-T1
GF00004512	TFCN152A1_009017-T1	DBVPG3775_003444-T1
GF00004513	TFCN152A1_009018-T1	DBVPG3775_003445-T1
GF00004514	TFCN152A1_009116-T1	DBVPG3775_001889-T1
GF00004515	TFCN152A1_010040-T1	DBVPG3775_001890-T1
GF00004516	TFCN152A1_010042-T1	DBVPG3775_001892-T1
GF00004517	TFCN152A1_010044-T1	DBVPG3775_001894-T1
GF00004518	TFCN152A1_009228-T1	DBVPG3775_001895-T1
GF00004519	TFCN152A1_009231-T1	DBVPG3775_001898-T1
GF00004520	TFCN152A1_009232-T1	DBVPG3775_001899-T1
GF00004521	TFCN152A1_010049-T1	DBVPG3775_001900-T1
GF00004522	TFCN152A1_009234-T1	DBVPG3775_001901-T1
GF00004523	TFCN152A1_010054-T1	DBVPG3775_001906-T1
GF00004524	TFCN152A1_009279-T1	DBVPG3775_006087-T1
GF00004525	TFCN152A1_009280-T1	DBVPG3775_006088-T1
GF00004526	TFCN152A1_012028-T1	DBVPG3775_006090-T1
GF00004527	TFCN152A1_009283-T1	DBVPG3775_006091-T1
GF00004528	TFCN152A1_009286-T1	DBVPG3775_006094-T1
GF00004529	TFCN152A1_009288-T1	DBVPG3775_006097-T1
GF00004530	TFCN152A1_012364-T1	DBVPG3775_006099-T1
GF00004531	TFCN152A1_009293-T1	DBVPG3775_006104-T1
GF00004532	TFCN152A1_009297-T1	DBVPG3775_006112-T1
GF00004533	TFCN152A1_009298-T1	DBVPG3775_006113-T1
GF00004534	TFCN152A1_009301-T1	DBVPG3775_006117-T1
GF00004535	TFCN152A1_009302-T1	DBVPG3775_006118-T1
GF00004536	TFCN152A1_009303-T1	DBVPG3775_006120-T1
GF00004537	TFCN152A1_010970-T1	DBVPG3775_006122-T1
GF00004538	TFCN152A1_009308-T1	DBVPG3775_006125-T1
GF00004539	TFCN152A1_010973-T1	DBVPG3775_006126-T1
GF00004540	TFCN152A1_009311-T1	DBVPG3775_006900-T1
GF00004541	TFCN152A1_009312-T1	DBVPG3775_006899-T1
GF00004542	TFCN152A1_009508-T1	DBVPG3775_007416-T1
GF00004543	TFCN152A1_009632-T1	DBVPG3775_005961-T1
GF00004544	TFCN152A1_009635-T1	DBVPG3775_005958-T1
GF00004545	TFCN152A1_009637-T1	DBVPG3775_005956-T1
GF00004546	TFCN152A1_009638-T1	DBVPG3775_005955-T1
GF00004547	TFCN152A1_009539-T1	DBVPG3775_006690-T1
GF00004548	TFCN152A1_009540-T1	DBVPG3775_006689-T1
GF00004549	TFCN152A1_009541-T1	DBVPG3775_006688-T1
GF00004550	TFCN152A1_009645-T1	DBVPG3775_006687-T1
GF00004551	TFCN152A1_009544-T1	DBVPG3775_006683-T1
GF00004552	TFCN152A1_009650-T1	DBVPG3775_006682-T1
GF00004553	TFCN152A1_009546-T1	DBVPG3775_006681-T1
GF00004554	TFCN152A1_009547-T1	DBVPG3775_006680-T1
GF00004555	TFCN152A1_009655-T1	DBVPG3775_006676-T1
GF00004556	TFCN152A1_009551-T1	DBVPG3775_006675-T1
GF00004557	TFCN152A1_009657-T1	DBVPG3775_006674-T1
GF00004558	TFCN152A1_009554-T1	DBVPG3775_006672-T1
GF00004559	TFCN152A1_009660-T1	DBVPG3775_006671-T1
GF00004560	TFCN152A1_009663-T1	DBVPG3775_006668-T1
GF00004561	TFCN152A1_009560-T1	DBVPG3775_006666-T1
GF00004562	TFCN152A1_011302-T1	DBVPG3775_007046-T1
GF00004563	TFCN152A1_011303-T1	DBVPG3775_007045-T1
GF00004564	TFCN152A1_009603-T1	DBVPG3775_007044-T1
GF00004565	TFCN152A1_009604-T1	DBVPG3775_007043-T1
GF00004566	TFCN152A1_009605-T1	DBVPG3775_007040-T1
GF00004567	TFCN152A1_009608-T1	DBVPG3775_007037-T1
GF00004568	TFCN152A1_009609-T1	DBVPG3775_007036-T1
GF00004569	TFCN152A1_011311-T1	DBVPG3775_007035-T1
GF00004570	TFCN152A1_009613-T1	DBVPG3775_007032-T1
GF00004571	TFCN152A1_009614-T1	DBVPG3775_007031-T1
GF00004572	TFCN152A1_009615-T1	DBVPG3775_007030-T1
GF00004573	TFCN152A1_009616-T1	DBVPG3775_007029-T1
GF00004574	TFCN152A1_009617-T1	DBVPG3775_007028-T1
GF00004575	TFCN152A1_011623-T1	DBVPG3775_007026-T1
GF00004576	TFCN152A1_009625-T1	DBVPG3775_007019-T1
GF00004577	TFCN152A1_011630-T1	DBVPG3775_007017-T1
GF00004578	TFCN152A1_009857-T1	DBVPG3775_002319-T1
GF00004579	TFCN152A1_009858-T1	DBVPG3775_002320-T1
GF00004580	TFCN152A1_009860-T1	DBVPG3775_002322-T1
GF00004581	TFCN152A1_012088-T1	DBVPG3775_002323-T1
GF00004582	TFCN152A1_009862-T1	DBVPG3775_002324-T1
GF00004583	TFCN152A1_009867-T1	DBVPG3775_002329-T1
GF00004584	TFCN152A1_009874-T1	DBVPG3775_002337-T1
GF00004585	TFCN152A1_011399-T1	DBVPG3775_002339-T1
GF00004586	TFCN152A1_009877-T1	DBVPG3775_002340-T1
GF00004587	TFCN152A1_011397-T1	DBVPG3775_002341-T1
GF00004588	TFCN152A1_011396-T1	DBVPG3775_002342-T1
GF00004589	TFCN152A1_011395-T1	DBVPG3775_002343-T1
GF00004590	TFCN152A1_011394-T1	DBVPG3775_002344-T1
GF00004591	TFCN152A1_011392-T1	DBVPG3775_002347-T1
GF00004592	TFCN152A1_009887-T1	DBVPG3775_002350-T1
GF00004593	TFCN152A1_009888-T1	DBVPG3775_002351-T1
GF00004594	TFCN152A1_012093-T1	DBVPG3775_002472-T1
GF00004595	TFCN152A1_009890-T1	DBVPG3775_002473-T1
GF00004596	TFCN152A1_009891-T1	DBVPG3775_002474-T1
GF00004597	TFCN152A1_009892-T1	DBVPG3775_002475-T1
GF00004598	TFCN152A1_012097-T1	DBVPG3775_002476-T1
GF00004599	TFCN152A1_009894-T1	DBVPG3775_002477-T1
GF00004600	TFCN152A1_012099-T1	DBVPG3775_002478-T1
GF00004601	TFCN152A1_009896-T1	DBVPG3775_002479-T1
GF00004602	TFCN152A1_012101-T1	DBVPG3775_002480-T1
GF00004603	TFCN152A1_009901-T1	DBVPG3775_002485-T1
GF00004604	TFCN152A1_009933-T1	DBVPG3775_003253-T1
GF00004605	TFCN152A1_009937-T1	DBVPG3775_003250-T1
GF00004606	TFCN152A1_010515-T1	DBVPG3775_004848-T1
GF00004607	TFCN152A1_010010-T1	DBVPG3775_004849-T1
GF00004608	TFCN152A1_010513-T1	DBVPG3775_004850-T1
GF00004609	TFCN152A1_010510-T1	DBVPG3775_004855-T1
GF00004610	TFCN152A1_010016-T1	DBVPG3775_004857-T1
GF00004611	TFCN152A1_010017-T1	DBVPG3775_004858-T1
GF00004612	TFCN152A1_010504-T1	DBVPG3775_004862-T1
GF00004613	TFCN152A1_010020-T1	DBVPG3775_004863-T1
GF00004614	TFCN152A1_010023-T1	DBVPG3775_004866-T1
GF00004615	TFCN152A1_010024-T1	DBVPG3775_004867-T1
GF00004616	TFCN152A1_010498-T1	DBVPG3775_004869-T1
GF00004617	TFCN152A1_010027-T1	DBVPG3775_004870-T1
GF00004618	TFCN152A1_010028-T1	DBVPG3775_004871-T1
GF00004619	TFCN152A1_010078-T1	DBVPG3775_002053-T1
GF00004620	TFCN152A1_010079-T1	DBVPG3775_002052-T1
GF00004621	TFCN152A1_010123-T1	DBVPG3775_006351-T1
GF00004622	TFCN152A1_010124-T1	DBVPG3775_006350-T1
GF00004623	TFCN152A1_010125-T1	DBVPG3775_006348-T1
GF00004624	TFCN152A1_012762-T1	DBVPG3775_006346-T1
GF00004625	TFCN152A1_012760-T1	DBVPG3775_006344-T1
GF00004626	TFCN152A1_010129-T1	DBVPG3775_006343-T1
GF00004627	TFCN152A1_010130-T1	DBVPG3775_006342-T1
GF00004628	TFCN152A1_013045-T1	DBVPG3775_006340-T1
GF00004629	TFCN152A1_010342-T1	DBVPG3775_000691-T1
GF00004630	TFCN152A1_010137-T1	DBVPG3775_000690-T1
GF00004631	TFCN152A1_010139-T1	DBVPG3775_000688-T1
GF00004632	TFCN152A1_010345-T1	DBVPG3775_000687-T1
GF00004633	TFCN152A1_010346-T1	DBVPG3775_000686-T1
GF00004634	TFCN152A1_010348-T1	DBVPG3775_000684-T1
GF00004635	TFCN152A1_010145-T1	DBVPG3775_000681-T1
GF00004636	TFCN152A1_010147-T1	DBVPG3775_000679-T1
GF00004637	TFCN152A1_010148-T1	DBVPG3775_000678-T1
GF00004638	TFCN152A1_010365-T1	DBVPG3775_000665-T1
GF00004639	TFCN152A1_010362-T1	DBVPG3775_000669-T1
GF00004640	TFCN152A1_010361-T1	DBVPG3775_000670-T1
GF00004641	TFCN152A1_010165-T1	DBVPG3775_000671-T1
GF00004642	TFCN152A1_010166-T1	DBVPG3775_000672-T1
GF00004643	TFCN152A1_013042-T1	DBVPG3775_004266-T1
GF00004644	TFCN152A1_010220-T1	DBVPG3775_004265-T1
GF00004645	TFCN152A1_013010-T1	DBVPG3775_004264-T1
GF00004646	TFCN152A1_010222-T1	DBVPG3775_004263-T1
GF00004647	TFCN152A1_012463-T1	DBVPG3775_002065-T1
GF00004648	TFCN152A1_010229-T1	DBVPG3775_002066-T1
GF00004649	TFCN152A1_010231-T1	DBVPG3775_002068-T1
GF00004650	TFCN152A1_011447-T1	DBVPG3775_002069-T1
GF00004651	TFCN152A1_010234-T1	DBVPG3775_002072-T1
GF00004652	TFCN152A1_011452-T1	DBVPG3775_002075-T1
GF00004653	TFCN152A1_010236-T1	DBVPG3775_002076-T1
GF00004654	TFCN152A1_010238-T1	DBVPG3775_002079-T1
GF00004655	TFCN152A1_010239-T1	DBVPG3775_002080-T1
GF00004656	TFCN152A1_010240-T1	DBVPG3775_002081-T1
GF00004657	TFCN152A1_010241-T1	DBVPG3775_002082-T1
GF00004658	TFCN152A1_011462-T1	DBVPG3775_002087-T1
GF00004659	TFCN152A1_010245-T1	DBVPG3775_002088-T1
GF00004660	TFCN152A1_011464-T1	DBVPG3775_002089-T1
GF00004661	TFCN152A1_010249-T1	DBVPG3775_002092-T1
GF00004662	TFCN152A1_010250-T1	DBVPG3775_002093-T1
GF00004663	TFCN152A1_010253-T1	DBVPG3775_002097-T1
GF00004664	TFCN152A1_010339-T1	DBVPG3775_000694-T1
GF00004665	TFCN152A1_013087-T1	DBVPG3775_004846-T1
GF00004666	TFCN152A1_010518-T1	DBVPG3775_004845-T1
GF00004667	TFCN152A1_010558-T1	DBVPG3775_004592-T1
GF00004668	TFCN152A1_010559-T1	DBVPG3775_004591-T1
GF00004669	TFCN152A1_010561-T1	DBVPG3775_004589-T1
GF00004670	TFCN152A1_010562-T1	DBVPG3775_004588-T1
GF00004671	TFCN152A1_012401-T1	DBVPG3775_004587-T1
GF00004672	TFCN152A1_010565-T1	DBVPG3775_004584-T1
GF00004673	TFCN152A1_012398-T1	DBVPG3775_004583-T1
GF00004674	TFCN152A1_012396-T1	DBVPG3775_004581-T1
GF00004675	TFCN152A1_010569-T1	DBVPG3775_004580-T1
GF00004676	TFCN152A1_012394-T1	DBVPG3775_004579-T1
GF00004677	TFCN152A1_012393-T1	DBVPG3775_004578-T1
GF00004678	TFCN152A1_010574-T1	DBVPG3775_004574-T1
GF00004679	TFCN152A1_010575-T1	DBVPG3775_004573-T1
GF00004680	TFCN152A1_011062-T1	DBVPG3775_004798-T1
GF00004681	TFCN152A1_010607-T1	DBVPG3775_004800-T1
GF00004682	TFCN152A1_011066-T1	DBVPG3775_004802-T1
GF00004683	TFCN152A1_010612-T1	DBVPG3775_004806-T1
GF00004684	TFCN152A1_010613-T1	DBVPG3775_004807-T1
GF00004685	TFCN152A1_010616-T1	DBVPG3775_004811-T1
GF00004686	TFCN152A1_010618-T1	DBVPG3775_004815-T1
GF00004687	TFCN152A1_010625-T1	DBVPG3775_004823-T1
GF00004688	TFCN152A1_010655-T1	DBVPG3775_002098-T1
GF00004689	TFCN152A1_010656-T1	DBVPG3775_002099-T1
GF00004690	TFCN152A1_010659-T1	DBVPG3775_002103-T1
GF00004691	TFCN152A1_011767-T1	DBVPG3775_002105-T1
GF00004692	TFCN152A1_010664-T1	DBVPG3775_002108-T1
GF00004693	TFCN152A1_010665-T1	DBVPG3775_002109-T1
GF00004694	TFCN152A1_012957-T1	DBVPG3775_002114-T1
GF00004695	TFCN152A1_010669-T1	DBVPG3775_002115-T1
GF00004696	TFCN152A1_012955-T1	DBVPG3775_002116-T1
GF00004697	TFCN152A1_012954-T1	DBVPG3775_002117-T1
GF00004698	TFCN152A1_010673-T1	DBVPG3775_002119-T1
GF00004699	TFCN152A1_010703-T1	DBVPG3775_006793-T1
GF00004700	TFCN152A1_010704-T1	DBVPG3775_006792-T1
GF00004701	TFCN152A1_010705-T1	DBVPG3775_006791-T1
GF00004702	TFCN152A1_012550-T1	DBVPG3775_006789-T1
GF00004703	TFCN152A1_012548-T1	DBVPG3775_006787-T1
GF00004704	TFCN152A1_012546-T1	DBVPG3775_006785-T1
GF00004705	TFCN152A1_012544-T1	DBVPG3775_006783-T1
GF00004706	TFCN152A1_010771-T1	DBVPG3775_007220-T1
GF00004707	TFCN152A1_010772-T1	DBVPG3775_007219-T1
GF00004708	TFCN152A1_010774-T1	DBVPG3775_007216-T1
GF00004709	TFCN152A1_012202-T1	DBVPG3775_007215-T1
GF00004710	TFCN152A1_010776-T1	DBVPG3775_007214-T1
GF00004711	TFCN152A1_010777-T1	DBVPG3775_007213-T1
GF00004712	TFCN152A1_012205-T1	DBVPG3775_007212-T1
GF00004713	TFCN152A1_010779-T1	DBVPG3775_007211-T1
GF00004714	TFCN152A1_010780-T1	DBVPG3775_007210-T1
GF00004715	TFCN152A1_010781-T1	DBVPG3775_007209-T1
GF00004716	TFCN152A1_010786-T1	DBVPG3775_007204-T1
GF00004717	TFCN152A1_010787-T1	DBVPG3775_007203-T1
GF00004718	TFCN152A1_010788-T1	DBVPG3775_007202-T1
GF00004719	TFCN152A1_011657-T1	DBVPG3775_007201-T1
GF00004720	TFCN152A1_011617-T1	DBVPG3775_001003-T1
GF00004721	TFCN152A1_011438-T1	DBVPG3775_005337-T1
GF00004722	TFCN152A1_011439-T1	DBVPG3775_005336-T1
GF00004723	TFCN152A1_010849-T1	DBVPG3775_005333-T1
GF00004724	TFCN152A1_011443-T1	DBVPG3775_005331-T1
GF00004725	TFCN152A1_010883-T1	DBVPG3775_007251-T1
GF00004726	TFCN152A1_010884-T1	DBVPG3775_007252-T1
GF00004727	TFCN152A1_012579-T1	DBVPG3775_007253-T1
GF00004728	TFCN152A1_010886-T1	DBVPG3775_007254-T1
GF00004729	TFCN152A1_010887-T1	DBVPG3775_007255-T1
GF00004730	TFCN152A1_010889-T1	DBVPG3775_007257-T1
GF00004731	TFCN152A1_012574-T1	DBVPG3775_007258-T1
GF00004732	TFCN152A1_010967-T1	DBVPG3775_003611-T1
GF00004733	TFCN152A1_012592-T1	DBVPG3775_003610-T1
GF00004734	TFCN152A1_011865-T1	DBVPG3775_006131-T1
GF00004735	TFCN152A1_011866-T1	DBVPG3775_006132-T1
GF00004736	TFCN152A1_010981-T1	DBVPG3775_006137-T1
GF00004737	TFCN152A1_011869-T1	DBVPG3775_006138-T1
GF00004738	TFCN152A1_010985-T1	DBVPG3775_006141-T1
GF00004739	TFCN152A1_010987-T1	DBVPG3775_006144-T1
GF00004740	TFCN152A1_011876-T1	DBVPG3775_006145-T1
GF00004741	TFCN152A1_010989-T1	DBVPG3775_006146-T1
GF00004742	TFCN152A1_010991-T1	DBVPG3775_006778-T1
GF00004743	TFCN152A1_010992-T1	DBVPG3775_006776-T1
GF00004744	TFCN152A1_012448-T1	DBVPG3775_006775-T1
GF00004745	TFCN152A1_012449-T1	DBVPG3775_006772-T1
GF00004746	TFCN152A1_010996-T1	DBVPG3775_006771-T1
GF00004747	TFCN152A1_012451-T1	DBVPG3775_006770-T1
GF00004748	TFCN152A1_012452-T1	DBVPG3775_006769-T1
GF00004749	TFCN152A1_012453-T1	DBVPG3775_006768-T1
GF00004750	TFCN152A1_012223-T1	DBVPG3775_006765-T1
GF00004751	TFCN152A1_011003-T1	DBVPG3775_006764-T1
GF00004752	TFCN152A1_011005-T1	DBVPG3775_006761-T1
GF00004753	TFCN152A1_011006-T1	DBVPG3775_006760-T1
GF00004754	TFCN152A1_011007-T1	DBVPG3775_006759-T1
GF00004755	TFCN152A1_011029-T1	DBVPG3775_004258-T1
GF00004756	TFCN152A1_011030-T1	DBVPG3775_004257-T1
GF00004757	TFCN152A1_011032-T1	DBVPG3775_004256-T1
GF00004758	TFCN152A1_011600-T1	DBVPG3775_004255-T1
GF00004759	TFCN152A1_011036-T1	DBVPG3775_004251-T1
GF00004760	TFCN152A1_011597-T1	DBVPG3775_004252-T1
GF00004761	TFCN152A1_011594-T1	DBVPG3775_004247-T1
GF00004762	TFCN152A1_011041-T1	DBVPG3775_004245-T1
GF00004763	TFCN152A1_012752-T1	DBVPG3775_004244-T1
GF00004764	TFCN152A1_012754-T1	DBVPG3775_004241-T1
GF00004765	TFCN152A1_011045-T1	DBVPG3775_004240-T1
GF00004766	TFCN152A1_011046-T1	DBVPG3775_004239-T1
GF00004767	TFCN152A1_011068-T1	DBVPG3775_007460-T1
GF00004768	TFCN152A1_011070-T1	DBVPG3775_007457-T1
GF00004769	TFCN152A1_012813-T1	DBVPG3775_007456-T1
GF00004770	TFCN152A1_011074-T1	DBVPG3775_007453-T1
GF00004771	TFCN152A1_011734-T1	DBVPG3775_007450-T1
GF00004772	TFCN152A1_011082-T1	DBVPG3775_007361-T1
GF00004773	TFCN152A1_011085-T1	DBVPG3775_007358-T1
GF00004774	TFCN152A1_011106-T1	DBVPG3775_004824-T1
GF00004775	TFCN152A1_012968-T1	DBVPG3775_004826-T1
GF00004776	TFCN152A1_012969-T1	DBVPG3775_004827-T1
GF00004777	TFCN152A1_011110-T1	DBVPG3775_006589-T1
GF00004778	TFCN152A1_011780-T1	DBVPG3775_006592-T1
GF00004779	TFCN152A1_011113-T1	DBVPG3775_006593-T1
GF00004780	TFCN152A1_012441-T1	DBVPG3775_007426-T1
GF00004781	TFCN152A1_012438-T1	DBVPG3775_007430-T1
GF00004782	TFCN152A1_012437-T1	DBVPG3775_007431-T1
GF00004783	TFCN152A1_011127-T1	DBVPG3775_007432-T1
GF00004784	TFCN152A1_012221-T1	DBVPG3775_002541-T1
GF00004785	TFCN152A1_011342-T1	DBVPG3775_002544-T1
GF00004786	TFCN152A1_012217-T1	DBVPG3775_002545-T1
GF00004787	TFCN152A1_011344-T1	DBVPG3775_002546-T1
GF00004788	TFCN152A1_012975-T1	DBVPG3775_002353-T1
GF00004789	TFCN152A1_012360-T1	DBVPG3775_005350-T1
GF00004790	TFCN152A1_011428-T1	DBVPG3775_005349-T1
GF00004791	TFCN152A1_012358-T1	DBVPG3775_005348-T1
GF00004792	TFCN152A1_011431-T1	DBVPG3775_005345-T1
GF00004793	TFCN152A1_011432-T1	DBVPG3775_005344-T1
GF00004794	TFCN152A1_011433-T1	DBVPG3775_005343-T1
GF00004795	TFCN152A1_011434-T1	DBVPG3775_005342-T1
GF00004796	TFCN152A1_011437-T1	DBVPG3775_005338-T1
GF00004797	TFCN152A1_011933-T1	DBVPG3775_001015-T1
GF00004798	TFCN152A1_011606-T1	DBVPG3775_001014-T1
GF00004799	TFCN152A1_011607-T1	DBVPG3775_001013-T1
GF00004800	TFCN152A1_011608-T1	DBVPG3775_001012-T1
GF00004801	TFCN152A1_011609-T1	DBVPG3775_001011-T1
GF00004802	TFCN152A1_011610-T1	DBVPG3775_001010-T1
GF00004803	TFCN152A1_011611-T1	DBVPG3775_001009-T1
GF00004804	TFCN152A1_011926-T1	DBVPG3775_001008-T1
GF00004805	TFCN152A1_011615-T1	DBVPG3775_001005-T1
GF00004806	TFCN152A1_011922-T1	DBVPG3775_001004-T1
GF00004807	TFCN152A1_011920-T1	DBVPG3775_001002-T1
GF00004808	TFCN152A1_011619-T1	DBVPG3775_001001-T1
GF00004809	TFCN152A1_011633-T1	DBVPG3775_007013-T1
GF00004810	TFCN152A1_013066-T1	DBVPG3775_007012-T1
GF00004811	TFCN152A1_011713-T1	DBVPG3775_006664-T1
GF00004812	TFCN152A1_012964-T1	DBVPG3775_006663-T1
GF00004813	TFCN152A1_012966-T1	DBVPG3775_006661-T1
GF00004814	TFCN152A1_011744-T1	DBVPG3775_007357-T1
GF00004815	TFCN152A1_012509-T1	DBVPG3775_002876-T1
GF00004816	TFCN152A1_012510-T1	DBVPG3775_002875-T1
GF00004817	TFCN152A1_012511-T1	DBVPG3775_002874-T1
GF00004818	TFCN152A1_012512-T1	DBVPG3775_002873-T1
GF00004819	TFCN152A1_011749-T1	DBVPG3775_002872-T1
GF00004820	TFCN152A1_011750-T1	DBVPG3775_002871-T1
GF00004821	TFCN152A1_011751-T1	DBVPG3775_002870-T1
GF00004822	TFCN152A1_012884-T1	DBVPG3775_002864-T1
GF00004823	TFCN152A1_011757-T1	DBVPG3775_002863-T1
GF00004824	TFCN152A1_011758-T1	DBVPG3775_002862-T1
GF00004825	TFCN152A1_012881-T1	DBVPG3775_002861-T1
GF00004826	TFCN152A1_011760-T1	DBVPG3775_002860-T1
GF00004827	TFCN152A1_011801-T1	DBVPG3775_003243-T1
GF00004828	TFCN152A1_011803-T1	DBVPG3775_003241-T1
GF00004829	TFCN152A1_011804-T1	DBVPG3775_003240-T1
GF00004830	TFCN152A1_012785-T1	DBVPG3775_003239-T1
GF00004831	TFCN152A1_011806-T1	DBVPG3775_003238-T1
GF00004832	TFCN152A1_011820-T1	DBVPG3775_001024-T1
GF00004833	TFCN152A1_011821-T1	DBVPG3775_001023-T1
GF00004834	TFCN152A1_011822-T1	DBVPG3775_001022-T1
GF00004835	TFCN152A1_011823-T1	DBVPG3775_001021-T1
GF00004836	TFCN152A1_012841-T1	DBVPG3775_001019-T1
GF00004837	TFCN152A1_012843-T1	DBVPG3775_001017-T1
GF00004838	TFCN152A1_012844-T1	DBVPG3775_001016-T1
GF00004839	TFCN152A1_011949-T1	DBVPG3775_007299-T1
GF00004840	TFCN152A1_011950-T1	DBVPG3775_007300-T1
GF00004841	TFCN152A1_012239-T1	DBVPG3775_007301-T1
GF00004842	TFCN152A1_011957-T1	DBVPG3775_007307-T1
GF00004843	TFCN152A1_011958-T1	DBVPG3775_007259-T1
GF00004844	TFCN152A1_012927-T1	DBVPG3775_007260-T1
GF00004845	TFCN152A1_012295-T1	DBVPG3775_006756-T1
GF00004846	TFCN152A1_012294-T1	DBVPG3775_006755-T1
GF00004847	TFCN152A1_012293-T1	DBVPG3775_006754-T1
GF00004848	TFCN152A1_012290-T1	DBVPG3775_006751-T1
GF00004849	TFCN152A1_012287-T1	DBVPG3775_006747-T1
GF00004850	TFCN152A1_012284-T1	DBVPG3775_006743-T1
GF00004851	TFCN152A1_012231-T1	DBVPG3775_007292-T1
GF00004852	TFCN152A1_012833-T1	DBVPG3775_007295-T1
GF00004853	TFCN152A1_012235-T1	DBVPG3775_007296-T1
GF00004854	TFCN152A1_012466-T1	DBVPG3775_002062-T1
GF00004855	TFCN152A1_012670-T1	DBVPG3775_002059-T1
GF00004856	TFCN152A1_012470-T1	DBVPG3775_002058-T1
GF00004857	TFCN152A1_012471-T1	DBVPG3775_002057-T1
GF00004858	TFCN152A1_012473-T1	DBVPG3775_002055-T1
GF00004859	TFCN152A1_012908-T1	DBVPG3775_003394-T1
GF00004860	TFCN152A1_012478-T1	DBVPG3775_003395-T1
GF00004861	TFCN152A1_012480-T1	DBVPG3775_003397-T1
GF00004862	TFCN152A1_012912-T1	DBVPG3775_003398-T1
GF00004863	TFCN152A1_012482-T1	DBVPG3775_003399-T1
GF00004864	TFCN152A1_012483-T1	DBVPG3775_003400-T1
GF00004865	TFCN152A1_012484-T1	DBVPG3775_003401-T1
GF00004866	TFCN152A1_012485-T1	DBVPG3775_003402-T1
GF00004867	TFCN152A1_012495-T1	DBVPG3775_007504-T1
GF00004868	TFCN152A1_013005-T1	DBVPG3775_007503-T1
GF00004869	TFCN152A1_012498-T1	DBVPG3775_007502-T1
GF00004870	TFCN152A1_012500-T1	DBVPG3775_007499-T1
GF00004871	TFCN152A1_012501-T1	DBVPG3775_007498-T1
